federal_account_id,federal_account_code,Subagency,Title,treasury_account_identifier,tas_rendering_label,Agency
3140,000-0100,Senate,"Compensation of Members and Related Administrative Expenses, Senate",NA,NA,US Agencies - Non-CFO Act
3141,000-0102,Senate,"Compensation and Mileage of the Vice President and Senators, Senate",NA,NA,US Agencies - Non-CFO Act
3142,000-0107,Senate,"Expense Allowances of the Vice President, the President Pro Tempore, Majority and Minority Leaders, Majority and Minority Whips, and Chairmen of the Majority and Minority Conference Committees, Senate",NA,NA,US Agencies - Non-CFO Act
3143,000-0108,Senate,"Representation Allowances for the Majority and Minority Leaders, Senate",NA,NA,US Agencies - Non-CFO Act
3144,000-0110,Senate,"Salaries, Officers and Employees, Senate",NA,NA,US Agencies - Non-CFO Act
3145,000-0115,Senate,"Payment to Widows and Heirs of Deceased Members of Congress, Senate",NA,NA,US Agencies - Non-CFO Act
3146,000-0118,Senate,"Contingent Expenses, Folding Documents, Senate",NA,NA,US Agencies - Non-CFO Act
3147,000-0123,Senate,"Contingent Expenses, Miscellaneous Items, Senate",NA,NA,US Agencies - Non-CFO Act
3148,000-0126,Senate,"Contingent Expenses, Secretary of the Senate, Senate",NA,NA,US Agencies - Non-CFO Act
3149,000-0127,Senate,"Contingent Expenses, Sergeant at Arms and Doorkeeper of the Senate, Senate",NA,NA,US Agencies - Non-CFO Act
3150,000-0128,Senate,"Contingent Expenses of the Senate, Inquiries and Investigations,Senate",NA,NA,US Agencies - Non-CFO Act
3151,000-0129,Senate,"Contingent Expenses, United States Senate Caucus on International Narcotics Control, Senate",NA,NA,US Agencies - Non-CFO Act
3152,000-0130,Senate,"Contingent Expenses, Senators' Official Personnel and Office Expenses Account, Senate",NA,NA,US Agencies - Non-CFO Act
3153,000-0132,Senate,"Official Mail Costs, Senate",NA,NA,US Agencies - Non-CFO Act
3154,000-0140,Senate,"Contingent Expenses, Stationery, Revolving Fund, Senate",NA,NA,US Agencies - Non-CFO Act
3155,000-0165,Senate,"Contingent Expenses, Automobiles and Maintenance, Senate",NA,NA,US Agencies - Non-CFO Act
3156,000-0171,Senate,"Salaries and Expenses, Office of Senate Legal Counsel, Senate",NA,NA,US Agencies - Non-CFO Act
3157,000-0172,Senate,"Expense Allowance for the Secretary of the Senate, Sergeant at Arms and Doorkeeper of the Senate and Secretaries for the Majority and for the Minority of the Senate, Senate",NA,NA,US Agencies - Non-CFO Act
3158,000-0174,Senate,"Capitol Guide Service and Special Services Office, Senate",NA,NA,US Agencies - Non-CFO Act
3159,000-0177,Capitol Police,"Contingent Expenses, Senate, Salaries, Capitol Police",NA,NA,US Agencies - Non-CFO Act
3160,000-0181,Senate,"Salaries and Contingent Expenses, Joint Economic Committee, Senate",NA,NA,US Agencies - Non-CFO Act
3161,000-0182,Senate,"Salaries and Contingent Expenses, Senate Policy Committees, Senate",NA,NA,US Agencies - Non-CFO Act
3162,000-0184,Senate,"Settlements and Awards Reserve, Contingent Expenses, Senate",NA,NA,US Agencies - Non-CFO Act
3163,000-0185,Senate,"Salaries and Expenses, Office of the Legislative Counsel of the Senate, Senate",NA,NA,US Agencies - Non-CFO Act
3164,000-0186,Senate,"Joint Congressional Committee on Inaugural Ceremonies of 2017, Senate",NA,NA,US Agencies - Non-CFO Act
3165,000-0188,Senate,"Congressional Use of Foreign Currency, Senate",NA,NA,US Agencies - Non-CFO Act
3166,000-0190,Senate,"Office of Congressional Accessibility Services, Senate",NA,NA,US Agencies - Non-CFO Act
3167,000-0199,Senate,"Statement of Appropriation, Senate",NA,NA,US Agencies - Non-CFO Act
3168,000-0200,House of Representatives,"Compensation of Members and Related Administrative Expenses, House of Representatives",NA,NA,US Agencies - Non-CFO Act
3169,000-0215,House of Representatives,"Payment to Widows and Heirs of Deceased Members of Congress, House of Representatives",NA,NA,US Agencies - Non-CFO Act
3170,000-0400,House of Representatives,"Salaries and Expenses, House of Representatives",NA,NA,US Agencies - Non-CFO Act
3171,000-0420,House of Representatives,"Legislative Branch Emergency Response Fund, House of Representative",NA,NA,US Agencies - Non-CFO Act
3172,000-0425,House of Representatives,"Contingent Expenses, Office of the Attending Physician, House of Represenatatives",NA,NA,US Agencies - Non-CFO Act
3173,000-0438,House of Representatives,"Contingent Expenses, House of Representatives, Allowances and Expenses",NA,NA,US Agencies - Non-CFO Act
3174,000-0440,House of Representatives,"Contingent Expenses, Stationery, Revolving Fund, House of Representatives",NA,NA,US Agencies - Non-CFO Act
3175,000-0460,House of Representatives,"Contingent Expenses, Joint Committee on Taxation, House of Representatives",NA,NA,US Agencies - Non-CFO Act
3176,000-0476,House of Representatives,"General Expenses, Capitol Police, House of Representatives",NA,NA,US Agencies - Non-CFO Act
3177,000-0477,House of Representatives,"Contingent Expenses, Salaries, Capitol Police, House of Representatives",NA,NA,US Agencies - Non-CFO Act
3178,000-0488,House of Representatives,"Congressional Use of Foreign Currency, House of Representatives",NA,NA,US Agencies - Non-CFO Act
3179,000-0499,House of Representatives,"Statement of Appropriations, House of Representatives",NA,NA,US Agencies - Non-CFO Act
3180,000-4003,House of Representatives,"Restaurant Fund, House of Representatives",NA,NA,US Agencies - Non-CFO Act
3181,000-4004,House of Representatives,"Contingent Expenses, House Recording Studio, Revolving Fund, House of Representatives",NA,NA,US Agencies - Non-CFO Act
3182,000-4006,House of Representatives,"Beauty Shop Revolving Fund, House of Representatives",NA,NA,US Agencies - Non-CFO Act
3183,000-4007,House of Representatives,"House Barber Shops Revolving Fund, House of Representatives",NA,NA,US Agencies - Non-CFO Act
3184,000-4008,House of Representatives,"Office of the Attending Physician Revolving Fund, House of Representatives",NA,NA,US Agencies - Non-CFO Act
3185,000-4011,House of Representatives,"Contingent Expenses, Page Residence Hall and Meal Plan, House of Representatives",NA,NA,US Agencies - Non-CFO Act
3186,000-4021,Senate,"Contingent Expenses, Senate Recording and Photographic Studios Revolving Fund, Senate",NA,NA,US Agencies - Non-CFO Act
3187,000-4022,Senate,"Senate Restaurant Fund, Senate",NA,NA,US Agencies - Non-CFO Act
3188,000-4046,Senate,"Contingent Expenses, Senate Computer Center Revolving Fund, Senate",NA,NA,US Agencies - Non-CFO Act
3189,000-4047,Senate,"Contingent Expenses, Senate Barber Shops Revolving Fund, Senate",NA,NA,US Agencies - Non-CFO Act
3190,000-4051,Senate,"Senate Health Promotion, Revolving Fund, Senate",NA,NA,US Agencies - Non-CFO Act
3191,000-4052,Senate,"Senate Office of Public Records, Revolving Fund, Senate",NA,NA,US Agencies - Non-CFO Act
3192,000-4062,Senate,"Senate Gift Shop Revolving Fund, Senate",NA,NA,US Agencies - Non-CFO Act
3193,000-4086,Senate,"Senate Photographic Studio Revolving Fund, Senate",NA,NA,US Agencies - Non-CFO Act
3194,000-4087,Senate,"Senate Recording Studio Revolving Fund, Senate",NA,NA,US Agencies - Non-CFO Act
3195,000-4091,House of Representatives,"Legislative Service Organizations, House of Representatives",NA,NA,US Agencies - Non-CFO Act
3196,000-4101,Senate,"Daniel Webster Senate Page Resident Revolving Fund, Senate",NA,NA,US Agencies - Non-CFO Act
3197,000-4191,Office of Chaplain,Office of Chaplain Expense Revolving Fund,NA,NA,US Agencies - Non-CFO Act
3198,000-4199,House of Representatives,"House Services Revolving Fund, House of Representatives",NA,NA,US Agencies - Non-CFO Act
3199,000-4326,Senate,"Senate Hair Care Revolving Fund, Senate",NA,NA,US Agencies - Non-CFO Act
3200,000-4436,House of Representatives,"House Child Care Center Revolving Fund, House of Representatives",NA,NA,US Agencies - Non-CFO Act
3201,000-4509,House of Representatives,"Net Expenses of Equipment Revolving Fund, House of Representatives",NA,NA,US Agencies - Non-CFO Act
3202,000-4515,House of Representatives,"Net Expenses of Telecommunications Revolving Fund, House of Representatives",NA,NA,US Agencies - Non-CFO Act
3203,000-5509,Senate,"Senate Preservation Fund, Library of Congress, Senate",NA,NA,US Agencies - Non-CFO Act
3204,000-6046,House of Representatives,"Members Balances with Sergeant at Arms, House of Representatives",NA,NA,US Agencies - Non-CFO Act
3205,000-6050,House of Representatives,"Employees' Payroll Allotment Account, United States Savings Bonds, House of Representatives",NA,NA,US Agencies - Non-CFO Act
3206,000-6275,Senate,"Withheld State and Local Taxes, Senate",NA,NA,US Agencies - Non-CFO Act
3207,000-6276,House of Representatives,"Other Federal Payroll Withholding, Allotments, House of Representatives",NA,NA,US Agencies - Non-CFO Act
3208,001-0100,Architect of the Capitol,"Salaries and Expenses, General Administration, Architect of the Capitol",NA,NA,US Agencies - Non-CFO Act
3209,001-0105,Architect of the Capitol,"Capitol Buildings, Architect of the Capitol",NA,NA,US Agencies - Non-CFO Act
3210,001-0106,Architect of the Capitol,"Alterations and Improvements, Buildings and Grounds, to Provide Facilities for the Physically Handicapped, Architect of the Capitol",NA,NA,US Agencies - Non-CFO Act
3211,001-0108,Architect of the Capitol,"Capitol Grounds, Architect of the Capitol",NA,NA,US Agencies - Non-CFO Act
3212,001-0123,Architect of the Capitol,"Senate Office Buildings, Architect of the Capitol",NA,NA,US Agencies - Non-CFO Act
3213,001-0127,Architect of the Capitol,"House Office Buildings, Architect of the Capitol",NA,NA,US Agencies - Non-CFO Act
3214,001-0133,Architect of the Capitol,"Capitol Power Plant, Architect of the Capitol",NA,NA,US Agencies - Non-CFO Act
3215,001-0137,Architect of the Capitol,"House Office Buildings Fund, Architect of the Capitol",NA,NA,US Agencies - Non-CFO Act
3216,001-0155,Architect of the Capitol,"Library Buildings and Grounds, Architect of the Capitol",NA,NA,US Agencies - Non-CFO Act
3217,001-0161,Architect of the Capitol,"Capitol Vistor Center, Architect of the Capitol",NA,NA,US Agencies - Non-CFO Act
3218,001-0171,Architect of the Capitol,"Capitol Police Buildings, Grounds and Security, Architect of the Capitol",NA,NA,US Agencies - Non-CFO Act
3219,001-1833,Architect of the Capitol,"House Historic Buildings Revitalization Trust Fund, Architect of the Capitol",NA,NA,US Agencies - Non-CFO Act
3220,001-4200,Architect of the Capitol,"House of Representatives, Gymnasium, Revolving Fund, Architect of the Capitol",NA,NA,US Agencies - Non-CFO Act
3221,001-4296,Architect of the Capitol,"Capitol Visitor Center Revolving Fund, Architect of the Capitol",NA,NA,US Agencies - Non-CFO Act
3222,001-4297,Architect of the Capitol,"Recyclable Materials Revolving Fund, Architect of the Capitol",NA,NA,US Agencies - Non-CFO Act
3223,001-4566,Architect of the Capitol,"Senate Health and Fitness Facility, Architect of the Capitol",NA,NA,US Agencies - Non-CFO Act
3224,001-4666,Architect of the Capitol,"Flag Office Revolving Fund, Architect of the Capitol",NA,NA,US Agencies - Non-CFO Act
3225,001-5760,Architect of the Capitol,"Capitol Trust Account, Architect of the Capitol",NA,NA,US Agencies - Non-CFO Act
3226,001-6050,Architect of the Capitol,"Employees' Payroll Allotment Account, United States Savings Bonds, Architect of the Capitol",NA,NA,US Agencies - Non-CFO Act
3227,002-0461,House of Representatives,"Security Enhancements, Capitol Police Board, House of Representatives",NA,NA,US Agencies - Non-CFO Act
3228,002-0476,Capitol Police,"General Expenses, Capitol Police",NA,NA,US Agencies - Non-CFO Act
3229,002-0477,Capitol Police,"Salaries, Capitol Police",NA,NA,US Agencies - Non-CFO Act
3230,002-5083,Capitol Police,"United States Capitol Police Memorial Fund, Capitol Police",NA,NA,US Agencies - Non-CFO Act
3231,003-0101,Library of Congress,"Salaries and Expenses, Library of Congress",NA,NA,US Agencies - Non-CFO Act
3232,003-0102,Library of Congress,"Salaries and Expenses, Copyright Office, Library of Congress",NA,NA,US Agencies - Non-CFO Act
3233,003-0103,Library of Congress,"Library of Congress National Collection Stewardship Fund, Library of Congress",NA,NA,US Agencies - Non-CFO Act
3234,003-0127,Library of Congress,"Salaries and Expenses, Congressional Research Service, Library of Congress",NA,NA,US Agencies - Non-CFO Act
3235,003-0141,Library of Congress,"Salaries and Expenses, Books for the Blind and Physically Handicapped, Library of Congress",NA,NA,US Agencies - Non-CFO Act
3236,003-0146,Library of Congress,"Furniture and Furnishings, Library of Congress",NA,NA,US Agencies - Non-CFO Act
3237,003-4325,Library of Congress,"Cooperative Acquisitions Program Revolving Fund, Library of Congress",NA,NA,US Agencies - Non-CFO Act
3238,003-4339,Library of Congress,"Duplication Services Associated with Audiovisual Conservation Center, Library of Congress",NA,NA,US Agencies - Non-CFO Act
3239,003-4346,Library of Congress,"Gift Shop, Decimal Classification, Photo Duplication, and Related Services, Library of Congress",NA,NA,US Agencies - Non-CFO Act
3240,003-4543,Library of Congress,"Fedlink and Federal Research Programs, Library of Congress",NA,NA,US Agencies - Non-CFO Act
3241,003-5075,Library of Congress,"Oliver Wendell Holmes Devise Fund, Library of Congress",NA,NA,US Agencies - Non-CFO Act
3242,003-5175,Library of Congress,"Payments to Copyright Owners, Copyright Office, Library of Congress",NA,NA,US Agencies - Non-CFO Act
3243,003-6175,Library of Congress,"Copyright Owner's Royalty Fees, Net Operating Costs, Copyright Office, Library of Congress",NA,NA,US Agencies - Non-CFO Act
3244,003-6206,Library of Congress,"Unearned Copyright Fees, Library of Congress",NA,NA,US Agencies - Non-CFO Act
3245,003-6207,Library of Congress,"Unearned Catalog Card Fees, Library of Congress",NA,NA,US Agencies - Non-CFO Act
3246,003-6500,Library of Congress,"Advances Without Orders from Non-Federal Sources, Library of Congress",NA,NA,US Agencies - Non-CFO Act
3247,003-8022,Library of Congress,"Payment of Interest on Bequest of Gertrude M. Hubbard, Library of Congress",NA,NA,US Agencies - Non-CFO Act
3248,003-8031,Library of Congress,"Library of Congress Gift Fund, Library of Congress",NA,NA,US Agencies - Non-CFO Act
3249,003-8032,Library of Congress,"Library of Congress Trust Fund, Library of Congress",NA,NA,US Agencies - Non-CFO Act
3250,003-8208,Library of Congress,"Service Fees, Library of Congress",NA,NA,US Agencies - Non-CFO Act
3251,003-8339,Library of Congress,"Foreign Service National Separation Liability Trust Fund, Library of Congress",NA,NA,US Agencies - Non-CFO Act
3252,004-0201,Government Publishing Office,"Salaries and Expenses, Public Information Programs of the Superintendent of Documents, Government Publishing Office",NA,NA,US Agencies - Non-CFO Act
3253,004-0203,Government Publishing Office,"Congressional Publishing, Government Publishing Office",NA,NA,US Agencies - Non-CFO Act
3254,004-4505,Government Publishing Office,"Government Publishing Office Business Operations Revolving Fund (Printing and Binding), Undistributed SIBAC Chargebacks, Government Publishing Office",NA,NA,US Agencies - Non-CFO Act
3255,005-0107,Government Accountability Office,"Salaries and Expenses, Government Accountability Office",38255,005-2009/2010-0107-000,US Agencies - Non-CFO Act
3255,005-0107,Government Accountability Office,"Salaries and Expenses, Government Accountability Office",42992,005-2010/2010-0107-000,US Agencies - Non-CFO Act
3255,005-0107,Government Accountability Office,"Salaries and Expenses, Government Accountability Office",42993,005-2010/2011-0107-000,US Agencies - Non-CFO Act
3255,005-0107,Government Accountability Office,"Salaries and Expenses, Government Accountability Office",45680,005-2011/2011-0107-000,US Agencies - Non-CFO Act
3255,005-0107,Government Accountability Office,"Salaries and Expenses, Government Accountability Office",45782,005-2011/2012-0107-000,US Agencies - Non-CFO Act
3255,005-0107,Government Accountability Office,"Salaries and Expenses, Government Accountability Office",53046,005-2012/2012-0107-000,US Agencies - Non-CFO Act
3255,005-0107,Government Accountability Office,"Salaries and Expenses, Government Accountability Office",53080,005-2012/2013-0107-000,US Agencies - Non-CFO Act
3255,005-0107,Government Accountability Office,"Salaries and Expenses, Government Accountability Office",55966,005-2013/2013-0107-000,US Agencies - Non-CFO Act
3255,005-0107,Government Accountability Office,"Salaries and Expenses, Government Accountability Office",56055,005-2013/2014-0107-000,US Agencies - Non-CFO Act
3255,005-0107,Government Accountability Office,"Salaries and Expenses, Government Accountability Office",59506,005-2014/2014-0107-000,US Agencies - Non-CFO Act
3255,005-0107,Government Accountability Office,"Salaries and Expenses, Government Accountability Office",59655,005-2014/2015-0107-000,US Agencies - Non-CFO Act
3255,005-0107,Government Accountability Office,"Salaries and Expenses, Government Accountability Office",62881,005-2015/2015-0107-000,US Agencies - Non-CFO Act
3255,005-0107,Government Accountability Office,"Salaries and Expenses, Government Accountability Office",62887,005-2015/2016-0107-000,US Agencies - Non-CFO Act
3255,005-0107,Government Accountability Office,"Salaries and Expenses, Government Accountability Office",66399,005-2016/2016-0107-000,US Agencies - Non-CFO Act
3255,005-0107,Government Accountability Office,"Salaries and Expenses, Government Accountability Office",69900,005-2017/2017-0107-000,US Agencies - Non-CFO Act
3255,005-0107,Government Accountability Office,"Salaries and Expenses, Government Accountability Office",72975,005-2018/2018-0107-000,US Agencies - Non-CFO Act
3255,005-0107,Government Accountability Office,"Salaries and Expenses, Government Accountability Office",74319,005-2018/2019-0107-000,US Agencies - Non-CFO Act
3255,005-0107,Government Accountability Office,"Salaries and Expenses, Government Accountability Office",1026,005-X-0107-000,US Agencies - Non-CFO Act
3256,005-0108,Government Accountability Office,"Salaries and Expenses - Recovery Act, Government Accountability office",NA,NA,US Agencies - Non-CFO Act
3257,005-6050,Government Accountability Office,"Employees' Payroll Allotment Account, United States Savings Bonds, Government Accountability Office",NA,NA,US Agencies - Non-CFO Act
3258,005-6275,Government Accountability Office,"Withheld State and Local Taxes, Government Accountability Office",NA,NA,US Agencies - Non-CFO Act
3259,005-8269,Government Accountability Office,"Contributions, Government Accountability Office",NA,NA,US Agencies - Non-CFO Act
3260,008-0100,Congressional Budget Office,"Salaries and Expenses, Congressional Budget Office",NA,NA,US Agencies - Non-CFO Act
3261,009-0110,Commission on Security and Cooperation in Europe,"Salaries and Expenses, Commission on Security and Cooperation in Europe",NA,NA,US Agencies - Non-CFO Act
3262,009-0145,Legislative Branch,"Payment to Open World Leadership Center Trust Fund, Legislative Branch",NA,NA,US Agencies - Non-CFO Act
3263,009-0200,Botanic Garden,"Salaries and Expenses, Botanic Garden",NA,NA,US Agencies - Non-CFO Act
3264,009-0500,Legislative Branch Boards and Commissions,"International Conferences and Contingencies, House and Senate   Expenses",1094,009-X-0500-000,US Agencies - Non-CFO Act
3265,009-0600,Legislative Branch Boards and Commissions,Commission on the Prevention of Weapons of Mass Destruction Proliferation and Terrorism,NA,NA,US Agencies - Non-CFO Act
3266,009-0900,Legislative Branch Boards and Commissions,"Congressional Ward Program, Congressional Award Board",NA,NA,US Agencies - Non-CFO Act
3267,009-1100,Legislative Branch Boards and Commissions,"Expenses, United States Bipartisan Commission on Comprehensive Health Care",NA,NA,US Agencies - Non-CFO Act
3268,009-1200,Legislative Branch Boards and Commissions,John C. Stennis Center for Public Service Training and Development,NA,NA,US Agencies - Non-CFO Act
3269,009-1450,Legislative Branch Boards and Commissions,"Awards and Settlements, Office of Compliance",NA,NA,US Agencies - Non-CFO Act
3270,009-1600,Legislative Branch Boards and Commissions,"Salaries and Expenses, Office of Compliance",NA,NA,US Agencies - Non-CFO Act
3271,009-1701,Legislative Branch Boards and Commissions,"Salaries and Expenses, Help Commission",NA,NA,US Agencies - Non-CFO Act
3272,009-1715,Legislative Branch Boards and Commissions,"Salaries and Expenses, Antitrust Modernization Commission",NA,NA,US Agencies - Non-CFO Act
3273,009-1800,Legislative Branch Boards and Commissions,"Salaries and Expenses, Financial Crisis Inquiry Commission",NA,NA,US Agencies - Non-CFO Act
3274,009-1801,Legislative Branch Boards and Commissions,Medicaid and CHIP Payment and Access Commission,NA,NA,US Agencies - Non-CFO Act
3275,009-6050,Botanic Garden,"Employees' Payroll Allotment Account, United States Savings Bonds, Botanic Garden",NA,NA,US Agencies - Non-CFO Act
3276,009-6275,Legislative Branch,"Withheld State and Local Taxes, Office of Technology Assessment",NA,NA,US Agencies - Non-CFO Act
3277,009-6875,Botanic Garden,"Suspense, Botanic Garden",NA,NA,US Agencies - Non-CFO Act
3278,009-8094,Legislative Branch,"Contributions and Donations, Office of Technology Assessment",NA,NA,US Agencies - Non-CFO Act
3279,009-8148,Legislative Branch,Open World Leadership Center Trust Fund,NA,NA,US Agencies - Non-CFO Act
3280,009-8275,Legislative Branch,John C. Stennis Center for Public Service Training and Development,NA,NA,US Agencies - Non-CFO Act
3281,009-8292,Botanic Garden,"National Garden, Gifts and Donations, Botanic Garden",NA,NA,US Agencies - Non-CFO Act
3282,009-8300,U.S. Capitol Preservation Commission,"Capitol Preservation Fund, U.S. Capitol Preservation Commission",NA,NA,US Agencies - Non-CFO Act
3283,010-0100,Supreme Court of the United States,"Salaries and Expenses, Supreme Court of the United States, the Judiciary",NA,NA,US Agencies - Non-CFO Act
3284,010-0103,Supreme Court of the United States,"Care of the Building and Grounds, Supreme Court, The Judiciary",NA,NA,US Agencies - Non-CFO Act
3285,010-0400,United States Court of International Trade,"Salaries and Expenses, United States Court of International Trade, The Judiciary",NA,NA,US Agencies - Non-CFO Act
3286,010-0510,United States Court of Appeals for the Federal Circuit,"Salaries and Expenses, United States Court of Appeals for the Federal Circuit, The Judiciary",NA,NA,US Agencies - Non-CFO Act
3287,010-0920,Courts of Appeals,"Salaries and Expenses, Courts of Appeals, District Courts, and Other Judicial Services, The Judiciary",NA,NA,US Agencies - Non-CFO Act
3288,010-0923,Courts of Appeals,"Defender Services, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",NA,NA,US Agencies - Non-CFO Act
3289,010-0925,Courts of Appeals,"Fees of Jurors and Commissioners, Court of Appeals, District Courts and Other Judicial Services, The Judiciary",NA,NA,US Agencies - Non-CFO Act
3290,010-0927,Administrative Office of the United States Courts,"Salaries and Expenses, Administrative Office of the United States Courts, The Judiciary",NA,NA,US Agencies - Non-CFO Act
3291,010-0928,Federal Judicial Center,"Salaries and Expenses, Federal Judicial Center, The Judiciary",NA,NA,US Agencies - Non-CFO Act
3292,010-0930,"Courts of Appeals, District Courts, and Other Judicial Services","Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",42178,010-2010/2010-0930-000,US Agencies - Non-CFO Act
