"name","value"
"Administration of Justice",74272034040.62
"Agriculture",17576717164.85
"Education, Training, Employment, and Social Services",174711428723.39
"Energy, Science, Space, and Technology",50148979186.3
"General Government",407874925720.64
"Health",667034404995.62
"Income Security",521018136278.82
"International Affairs",104358036097.7
"Medicare",1046629647350.25
"National Defense",699613268608.11
"Natural Resources and Environment",55511380338.47
"Net Interest",470678363126.32
"Regional Development, Commerce, and Housing",94882203679.07
"Social Security",996372134632.39
"Transportation",119571099405.49
"Veterans Benefits and Services",193259562158.3
"Acquisition of Assets",124231238924.71
"Advisory, R&D, Medical, and Other Contracts",520206398747.18
"Grants, Subsidies, and Contributions",1686312649354.13
"Insurance Claims and Indemnities",2027141769752.41
"Interest and Dividends",470355385126.55
"Other",-162305417840.79
"Personnel Compensation and Benefits",528035018570.76
"Printing and Supplies",119814416112.9
"Refunds",312696074393.64
"Rent, Communications, and Utilities",39235996142.71
"Travel and Transportation",27788792222.14
