"name","value"
"Administration of Justice",15523086107.09
"Agriculture",4481587776.18
"Education, Training, Employment, and Social Services",31398134416.68
"Energy, Science, Space, and Technology",9013430540.91
"General Government",62736752999.76
"Health",151590744961.83
"Income Security",108794103304.02
"International Affairs",8431979594.02
"Medicare",228400341812.35
"National Defense",7217399603.39
"Natural Resources and Environment",8339799818.23
"Net Interest",150249449516.77
"Regional Development, Commerce, and Housing",41231416398.55
"Social Security",254305886252.52
"Transportation",17388609697.8
"Veterans Benefits and Services",51179292578.55
"Acquisition of Assets",5750061638
"Advisory, R&D, Medical, and Other Contracts",61894457405.2
"Grants, Subsidies, and Contributions",304747059290.01
"Insurance Claims and Indemnities",465577419179.67
"Interest and Dividends",150190809946.05
"Other",45661545038.51
"Personnel Compensation and Benefits",59519601000.71
"Printing and Supplies",6865903831.86
"Refunds",40713125761.59
"Rent, Communications, and Utilities",6899278181.61
"Travel and Transportation",2653719888.87
"Unknown",-190965783.43
