"name","value"
"Administration of Justice",16816761938.99
"Agriculture",14495403553.47
"Education, Training, Employment, and Social Services",38246392918.55
"Energy, Science, Space, and Technology",8789427427.38
"General Government",63920223076.36
"Health",159564787461.33
"Income Security",115115117329.53
"International Affairs",8599557547.7
"Medicare",273180031194.15
"National Defense",22755901683.26
"Natural Resources and Environment",7293349630.99
"Net Interest",167357141082.61
"Regional Development, Commerce, and Housing",16602891181.27
"Social Security",270988863288.42
"Transportation",18113945941.07
"Veterans Benefits and Services",54964429433.34
"Acquisition of Assets",16744853083.3
"Advisory, R&D, Medical, and Other Contracts",68178350473.98
"Grants, Subsidies, and Contributions",321177015166.53
"Insurance Claims and Indemnities",513112862415.84
"Interest and Dividends",167154008123.64
"Other",54939226300.4
"Personnel Compensation and Benefits",59353231640.51
"Printing and Supplies",8233271367.06
"Refunds",39112572690.31
"Rent, Communications, and Utilities",7406221884.3
"Travel and Transportation",1392611542.55
