"Agency","Subagency","accountID","Title","Obligation","Unobligated"
"US Agencies - Non-CFO Act","Government Accountability Office",114,"Salaries and Expenses, Government Accountability Office",319608196.84,329758530.5
"US Agencies - Non-CFO Act","Legislative Branch Boards and Commissions",122,"International Conferences and Contingencies, House and Senate   Expenses",100000,1663227.47
"US Agencies - Non-CFO Act","Courts of Appeals, District Courts, and Other Judicial Services",146,"Court Security, Court of Appeals, District Courts, and Other Judicial Services, The Judiciary",335102663.46,122000966.61
"Department of Agriculture","Office of the Secretary",275,"Office of the Under Secretary for Marketing and Regulatory Programs, Cooperative State Research, Education, and Extension Service, Agriculture",400089.88,443495.55
"Department of Agriculture","Office of the Secretary",268,"Production, Processing and Marketing, Office of the Secretary, Agriculture",51588886.54,40666903.4
"Department of Agriculture","Office of the Secretary",271,"Office of the Assistant Secretary for Administration, Agriculture",0,4846.37
"Department of Agriculture","Office of the Secretary",392,"Office of the Under Secretary for Food Safety, Agriculture",199012.16,652503.35
"Department of Agriculture","Office of the Secretary",272,"Office of the Assistant Secretary for Governmental and Public Affairs, Agriculture",0,142837.55
"Department of Agriculture","Office of the Secretary",274,"Office of the Under Secretary for Research, Education and Economics, Agriculture",1148744.78,1495715.77
"Department of Agriculture","Office of the Secretary",276,"Office of the Under Secretary for Farm and Foreign Agricultural Services, Agriculture",402332.05,305713.87
"Department of Agriculture","Office of the Secretary",277,"Office of the Under Secretary for Rural Development, Agriculture",1056727.92,314872.32
"Department of Agriculture","Office of the Secretary",278,"Office of the Assistant Secretary for Natural Resources and Environment, Agriculture",52022.89,769151.23
"Department of Agriculture","Office of the Secretary",279,"Office of the Under Secretary for Food, Nutrition and Consumer Services, Agriculture",234970.32,552347.16
"Department of Agriculture","Office of the Secretary",270,"Departmental Administration, Agriculture",0.02,79592.29
"Department of Agriculture","Office of the Secretary",298,"Outreach for Socially Disadvantaged Farmers, National Institute of Food and Agriculture, Agriculture",415006.87,1019620.6
"Department of Agriculture","Office of the Secretary",280,"Office of the Assistant Secretary for Civil Rights, Agriculture",47621.27,673993.64
"Department of Agriculture","Office of the Secretary",286,"Office of Communications, Agriculture",0,198589.96
"Department of Agriculture","Office of the Secretary",266,"Homeland Security Staff, Agriculture",0,5962.28
