"sub","name","size"
"","AT&T MOBILITY LLC",26639.16
"","DOCUMENT IMAGING DIMENSIONS INC",17484.8
"Access Board","1901 GROUP LLC",454501.2
"Access Board","FEITH SYSTEMS AND SOFTWARE INC",146742
"Access Board","MANCOM INC",114700
"Access Board","FEDERAL PRISON INDUSTRIES INC",87146.3
"Access Board","RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK THE",85638
"Access Board","3LINKS TECHNOLOGIES INC",78236.54
"Access Board","BNF TECHNOLOGIES INC",64235.6
"Access Board","DEVELOPMENT INFOSTRUCTURE",54685.74
"Access Board","THUNDERCAT TECHNOLOGY LLC",47658.88
"Access Board","UNIVERSITY OF ILLINOIS",44863.92
"Administrative Conference of the U.S.","HIRE ONE PERSONNEL SERVICES OF WASHINGTON DC LLC",107320
"Administrative Conference of the U.S.","AMPLIA GROUP LLC",63000
"Administrative Conference of the U.S.","AGILEANA LC",46500
"Administrative Conference of the U.S.","PREMIERE PAINTING INC",41248
"Administrative Conference of the U.S.","DATAPRISE INC",30000
"Administrative Conference of the U.S.","ROCHA & COMPANY PC",22000
"Administrative Conference of the U.S.","FEDRESULTS INC",13731
"Administrative Conference of the U.S.","RELX INC",8892
"Administrative Conference of the U.S.","ONLINE VIDEO SERVICE INC",5800
"Administrative Conference of the U.S.","GOVPREDICT INC",4200
"Administrative Office of the U.S. Courts","ARTISAN CONSTRUCTION ENTERPRISES INC",600514
"Administrative Office of the U.S. Courts","EASTERN CONSTRUCTION & ELECTRIC INC",589413.51
"Administrative Office of the U.S. Courts","PATTON CONSTRUCTION INC",584277.29
"Administrative Office of the U.S. Courts","ARNOLD ELECTRIC INC",544469.29
"Administrative Office of the U.S. Courts","J E NOVACK CONSTRUCTION CO",537821
"Administrative Office of the U.S. Courts","CFM PROJECT CONSULTING GROUP INC",497380.01
"Administrative Office of the U.S. Courts","NOACON INC",465019.57
"Administrative Office of the U.S. Courts","NEW AGE PROTECTION INC",457911.39
"Administrative Office of the U.S. Courts","KEN TILLAGE CONSTRUCTION COMPANY LLC",442579.85
"Administrative Office of the U.S. Courts","PACIFIC SOURCE ELECTRIC LLC",416622.63
"Administrative Review Board","MICROPACT INC",374951.1
"Administrative Review Board","ADAMS AND ASSOCIATES INC",40000
"Administrative Review Board","JURIS PUBLISHING INC",22885
"Administrative Review Board","LRP PUBLICATIONS INC",7950
"Administrative Review Board","RELX INC",6933
"Administrative Review Board","WEST PUBLISHING CORPORATION",5131.99
"Administrative Review Board","CELLCO PARTNERSHIP DBA VERIZON WIRELESS",3559.28
"Administrative Review Board","KYOCERA MITA AMERICA INC",-54.36
"Advisory Council on Historic Preservation","KNOWLEDGE CONSULTING GROUP",75544.05
"Advisory Council on Historic Preservation","BLACKWOOD ASSOCIATES INC",60283
"Advisory Council on Historic Preservation","CARAHSOFT TECHNOLOGY CORPORATION",44739
"Advisory Council on Historic Preservation","NORSEMAN INC",37924
"Advisory Council on Historic Preservation","WASHINGTON METROPOLITAN AREA TRANSIT AUTHORITY",34899.05
"Advisory Council on Historic Preservation","PANAMERICA COMPUTERS INC",30822
"Advisory Council on Historic Preservation","SOFTCHOICE CORPORATION",24309.46
"Advisory Council on Historic Preservation","IBEX IT BUSINESS EXPERTS LLC",20000
"Advisory Council on Historic Preservation","ACCELERA SOLUTIONS INCORPORATED",18852.5
"Advisory Council on Historic Preservation","STRATEGIC TECHNICAL SERVICES LLC",16645.12
"Agency for Healthcare Research and Quality","PORTLAND VA RESEARCH FOUNDATION INC",986850
"Agency for Healthcare Research and Quality","MATHEMATICA POLICY RESEARCH INC",947670.56
"Agency for Healthcare Research and Quality","EDAPTIVE SYSTEMS LLC",892783.23
"Agency for Healthcare Research and Quality","EVENT PLANNING GROUP LLC THE",752281.7
"Agency for Healthcare Research and Quality","AFYA INC",615848
"Agency for Healthcare Research and Quality","JR REINGOLD & ASSOCIATES INC",611590
"Agency for Healthcare Research and Quality","L & M POLICY RESEARCH LLC",600687.83
"Agency for Healthcare Research and Quality","BROWN UNIVERSITY IN PROVIDENCE IN STATE OF RI AND PROVIDENCE PLANTATIONS",592497.36
"Agency for Healthcare Research and Quality","MAYO CLINIC",520000
"Agency for Healthcare Research and Quality","NOVAD MANAGEMENT CONSULTING LLC",486988
"Agency for International Development","WILLIAMS ADLEY & COMPANY - DC LLP",998299.8
"Agency for International Development","CREDENCE MANAGEMENT SOLUTIONS LIMITED LIABILITY COMPANY",984363.03
"Agency for International Development","AECOM GOVERNMENT SERVICES INC",950588
"Agency for International Development","STARS II PARTNERSHIP JOINT VENTURE LLC",910065.89
"Agency for International Development","PROGRAM FOR APPROPRIATE TECHNOLOGY IN HEALTH",905146.75
"Agency for International Development","LINC LLC",886306.09
"Agency for International Development","RIVERA CONSULTING GROUP INC",869000
"Agency for International Development","VERIS GROUP LLC",850302.07
"Agency for International Development","ONEWORLD COMMUNICATIONS INC",844266.11
"Agency for International Development","LONGEVITY CONSULTING LLC",841823.32
"Agricultural Marketing Service","AQUAS INCORPORATED",997159.65
"Agricultural Marketing Service","FANNING FANNING & ASSOCIATES INC",988775.68
"Agricultural Marketing Service","WESTERN VEG-PRODUCE INC",956499.8
"Agricultural Marketing Service","NEBRASKA BEAN INC",951823.97
"Agricultural Marketing Service","SCIQUEST INC",915365.99
"Agricultural Marketing Service","SAVAN GROUP LLC",913208.36
"Agricultural Marketing Service","MCCALL FARMS INC",911168.57
"Agricultural Marketing Service","HICKMANS EGG RANCH INC",882675
"Agricultural Marketing Service","NATURIPE FOODS LLC",815250.78
"Agricultural Marketing Service","EMIGH WOLF INVESTMENTS LLC",788936.54
"Agricultural Research Service","LIBRARY ASSOCIATES OF MARYLAND LIMITED LIABILITY COMPANY",970048.4
"Agricultural Research Service","FCA US LLC",933855
"Agricultural Research Service","KYNETEC USA INC",916000
"Agricultural Research Service","THERMO ELECTRON NORTH AMERICA LIMITED LIABILITY COMPANY",910763.93
"Agricultural Research Service","DSFEDERAL INC",882149.12
"Agricultural Research Service","JEOL USA INC",875468.64
"Agricultural Research Service","EXECUTIVE INFORMATION SYSTEMS",871975.64
"Agricultural Research Service","STV INCORPORATED",870123.6
"Agricultural Research Service","LOUVIERE STRATTON & YOKEL LLC",851027
"Agricultural Research Service","SCHNEIDER ELECTRIC BUILDINGS AMERICAS INC",841107
"Alcohol and Tobacco Tax and Trade Bureau","GOVSMART INC",872867.27
"Alcohol and Tobacco Tax and Trade Bureau","PHOENIX DATA CORPORATION",872105.6
"Alcohol and Tobacco Tax and Trade Bureau","TECHGLOBAL INC",832565.41
"Alcohol and Tobacco Tax and Trade Bureau","GOVSOLUTIONS INC",818246.07
"Alcohol and Tobacco Tax and Trade Bureau","SNAP INC",683782.09
"Alcohol and Tobacco Tax and Trade Bureau","EMERGENT LLC",461618.98
"Alcohol and Tobacco Tax and Trade Bureau","PROFESSIONAL MANAGEMENT ENTERPRISES INC",442441.6
"Alcohol and Tobacco Tax and Trade Bureau","MINBURN TECHNOLOGY GROUP LLC",365510.43
"Alcohol and Tobacco Tax and Trade Bureau","VETERAN INFORMATION TECHNOLOGIES LLC",330130.55
"Alcohol and Tobacco Tax and Trade Bureau","EXECUTIVE INFORMATION SYSTEMS",316595.82
"American Battle Monuments Commission","GEORGE MASON UNIVERSITY",111000
"American Battle Monuments Commission","KENWOOD USA CORPORATION",825.48
"Animal and Plant Health Inspection Service","R J CORMAN AIRCRAFT MAINTENANCE LLC",996494.68
"Animal and Plant Health Inspection Service","CMGC BUILDING CORP",948096
"Animal and Plant Health Inspection Service","EPOCH CONCEPTS LLC",936779.99
"Animal and Plant Health Inspection Service","IRELAND KELVIN R",894010.1
"Animal and Plant Health Inspection Service","ALLFLEX USA INC",817039.01
"Animal and Plant Health Inspection Service","TECHNIK INC",814999.32
"Animal and Plant Health Inspection Service","MISCELLANEOUS FOREIGN AWARDEES",783697.79
"Animal and Plant Health Inspection Service","E J BROOKS COMPANY",783227.65
"Animal and Plant Health Inspection Service","APPLIED DESIGN CORPORATION",781941.74
"Animal and Plant Health Inspection Service","SMITHS DETECTION INC",757398.93
"Armed Forces Retirement Home","POTOMAC ELECTRIC POWER COMPANY",700000
"Armed Forces Retirement Home","MARATHON MEDICAL CORPORATION",503754.73
"Armed Forces Retirement Home","CENTRALCARE INCORPORATED",470577.96
"Armed Forces Retirement Home","MANTONI DR ROBERT INC",450000
"Armed Forces Retirement Home","R H G GROUP INCORPORATED",400000
"Armed Forces Retirement Home","MEDICAL X-RAY STAFFING SOLUTIONS INC",378000
"Armed Forces Retirement Home","VETERANS MANAGEMENT SERVICES INC",338777.14
"Armed Forces Retirement Home","DAVEY TREE EXPERT COMPANY THE",330022
"Armed Forces Retirement Home","GREENER CONSTRUCTION SERVICES INC",280837
"Armed Forces Retirement Home","MILLENNIUM PHARMACY SYSTEMS INC",249698.31
"Assistant Secretary for Departmental Management","AMERICAN INDIAN HIGHER EDUCATION CONSORTIUM",400000
"Assistant Secretary for Departmental Management","TALU LLC",216435.54
"Assistant Secretary for Departmental Management","EAGLE HILL CONSULTING LLC",149897.42
"Assistant Secretary for Departmental Management","ENG SOLUTIONS INC",111529.39
"Assistant Secretary for Departmental Management","OMNIFICS INC",82142.64
"Assistant Secretary for Departmental Management","DYNAMIC FACILITY DESIGNS LLC",77280.46
"Assistant Secretary for Departmental Management","TEKNION LLC",57723.86
"Assistant Secretary for Departmental Management","CARAHSOFT TECHNOLOGY CORPORATION",38461.24
"Assistant Secretary for Departmental Management","ROUTE7 CONSULTING INC",36987.5
"Assistant Secretary for Departmental Management","SUPRIYA AGGARWAL",23931
"Benefits Review Board","22ND CENTURY TECHNOLOGIES INC",47387.68
"Benefits Review Board","FAX PLUS INCORPORATED",13982.72
"Benefits Review Board","KYOCERA MITA AMERICA INC",-59.98
"Benefits Review Board","XEROX CORPORATION",-404.76
"Benefits Review Board","AT&T MOBILITY LLC",-530.14
"Board of Contract Appeals","INSIGNIA FEDERAL GROUP LLC",205988.2
"Broadcasting Board of Governors","AT&T CORP",936695.48
"Broadcasting Board of Governors","DUKE ENERGY PROGRESS INC",906618.73
"Broadcasting Board of Governors","TEMPORARY EMPLOYEE SERVICES INC",853328
"Broadcasting Board of Governors","GALLUP INC",814355.98
"Broadcasting Board of Governors","BABCOCK COMMUNICATIONS LTD",779550
"Broadcasting Board of Governors","ASSIGNED COUNSEL INCORPORATED",765842.75
"Broadcasting Board of Governors","FOXX PROFESSIONALS LLC",762322.6
"Broadcasting Board of Governors","PAYDESK LIMITED",722366
"Broadcasting Board of Governors","ULTRAREACH INTERNET CORP",690000
"Broadcasting Board of Governors","URS GROUP INC",625186.12
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","GLOCK INC",999190
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","BOOZ ALLEN HAMILTON INCORPORATED 3626",977845
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","LOCKHEED MARTIN INTEGRATED SYSTEMS INC",913102
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","NET DIGITAL SOLUTIONS LLC",903574.08
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","POTOMAC ELECTRIC POWER COMPANY",900000
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","LINDEN RESOURCES INC",891123.24
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","JAYBRO GROUP LLC",846257
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","VSE CORPORATION",841700.01
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","DCS CONSULTING INC",832143.81
"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division","K & P CONSULTING INCORPORATED",830402.58
"Bureau of Economic Analysis","DIGITAL MANAGEMENT LLC",912000
"Bureau of Economic Analysis","ZANTECH IT SERVICES INC",811619.02
"Bureau of Economic Analysis","METZGER CONSULTING INCORPORATED",769998.05
"Bureau of Economic Analysis","CARAHSOFT TECHNOLOGY CORP",636867.04
"Bureau of Economic Analysis","RECOVERY POINT SYSTEMS INC",398819.76
"Bureau of Economic Analysis","CSRA LLC",392717
"Bureau of Economic Analysis","INTERFACE AMERICAS INC",358523.66
"Bureau of Economic Analysis","ALLSTEEL INC",338404.99
"Bureau of Economic Analysis","GLOBAL NETWORK SYSTEMS OF MARYLAND INC",240000
"Bureau of Economic Analysis","METAFACTS INC",209000
"Bureau of Engraving and Printing","AVENTURA TECHNOLOGIES INC",997550.06
"Bureau of Engraving and Printing","SERENA SOFTWARE INC",960000
"Bureau of Engraving and Printing","CARAHSOFT TECHNOLOGY CORP",915063.49
"Bureau of Engraving and Printing","RUCHMAN AND ASSOCIATES INC",896041.18
"Bureau of Engraving and Printing","GOVERNMENT ACQUISITIONS INC",875665.23
"Bureau of Engraving and Printing","LUMENCO LLC",851856.24
"Bureau of Engraving and Printing","CENTRAL PARKING SYSTEM INC",791964
"Bureau of Engraving and Printing","SJ TECHNOLOGIES INC",773679.24
"Bureau of Engraving and Printing","REDHORSE CORPORATION",739026.24
"Bureau of Engraving and Printing","CLEAN HARBORS ENVIRONMENTAL SE",731447.85
"Bureau of Indian Affairs and Bureau of Indian Education","AFFIGENT LLC",977526.66
"Bureau of Indian Affairs and Bureau of Indian Education","UNIVERSITY OF NEW MEXICO",976774.74
"Bureau of Indian Affairs and Bureau of Indian Education","PERFECTA MEDIA LLC",967965.64
"Bureau of Indian Affairs and Bureau of Indian Education","ARROW VENTURES ENTERPRISES LLC",951346.34
"Bureau of Indian Affairs and Bureau of Indian Education","TALU LLC",922864.16
"Bureau of Indian Affairs and Bureau of Indian Education","SAN LUIS CITY OF",902662.86
"Bureau of Indian Affairs and Bureau of Indian Education","GREEN WATER ENERGY LLC",884514.43
"Bureau of Indian Affairs and Bureau of Indian Education","KAY COUNTY JUSTICE FACILITY",878895.2
"Bureau of Indian Affairs and Bureau of Indian Education","AMERICAN INDIAN DEVELOPMENT ASSOCIATESLLC",866261.15
"Bureau of Indian Affairs and Bureau of Indian Education","HONEYWELL BUILDING SOLUTIONS SES CORPORATION",854707.16
"Bureau of Industry and Security","DUPONT HOTEL PROJECT OWNER LLC",986604
"Bureau of Industry and Security","FORCE 3 INC",761498.93
"Bureau of Industry and Security","IRON BOW TECHNOLOGIES LLC",719061.73
"Bureau of Industry and Security","JASPER SOLUTIONS INC",450355
"Bureau of Industry and Security","INSIGHT PUBLIC SECTOR INC",321214.5
"Bureau of Industry and Security","INTELLIGENT DECISIONS INC",290771.7
"Bureau of Industry and Security","NETIMPACT STRATEGIES INC",242163.64
"Bureau of Industry and Security","AT&T MOBILITY LLC",236641.12
"Bureau of Industry and Security","CARAHSOFT TECHNOLOGY CORPORATION",207427.48
"Bureau of Industry and Security","ACCENTURE NATIONAL SECURITY SERVICES LIMITED LIABILITY COMPANY",196026.61
"Bureau of International Labor Affairs","ICF MACRO INC",968000
"Bureau of International Labor Affairs","SISTEMAS FAMILIA Y SOCIEDAD - CONSULTORES ASOCIADOS EIRL",613725
"Bureau of International Labor Affairs","MOI INC",474559.09
"Bureau of International Labor Affairs","OBRIEN & ASSOCIATES INTERNATIONAL INC",459936
"Bureau of International Labor Affairs","H&S RESOURCES CORPORATION",297660.55
"Bureau of International Labor Affairs","MANAGEMENT SYSTEMS INTERNATIONAL INC",129209.09
"Bureau of International Labor Affairs","WILLIAMS ADLEY & COMPANY - DC LLP",91391.52
"Bureau of International Labor Affairs","AT&T MOBILITY LLC",89282.72
"Bureau of International Labor Affairs","GRAFIK INDUSTRIES LTD",73583.3
"Bureau of International Labor Affairs","SKYHAWK LOGISTICS INC",36030
"Bureau of Labor Statistics","EMERGENT LLC",990761.99
"Bureau of Labor Statistics","MICROTECHNOLOGIES LLC",789462.36
"Bureau of Labor Statistics","GOVSMART INC",760244.62
"Bureau of Labor Statistics","AQUATE CORPORATION",731390.31
"Bureau of Labor Statistics","ANYAR INC",504024.48
"Bureau of Labor Statistics","ATH SOLUTIONS INC",452488.89
"Bureau of Labor Statistics","JD POWER",445950
"Bureau of Labor Statistics","MAD SECURITY LLC",385072.51
"Bureau of Labor Statistics","VASKE COMPUTER INC",329314.49
"Bureau of Labor Statistics","FEDSCALE INC",326197.64
"Bureau of Land Management","JACOBS ENGINEERING GROUP INC",987623.81
"Bureau of Land Management","TRIMBLE INC",987434.58
"Bureau of Land Management","CLEARWATER SEED LLC",969834
"Bureau of Land Management","LEADING EDGE AVIATION SERVICES INC",962554.19
"Bureau of Land Management","JACOBS RANCH",957760
"Bureau of Land Management","COUNTERTRADE PRODUCTS INC",953337.03
"Bureau of Land Management","CARAHSOFT TECHNOLOGY CORP",925034.46
"Bureau of Land Management","YOUDERIAN CONSTRUCTION INC",913039
"Bureau of Land Management","MOTOROLA SOLUTIONS INC",906284.05
"Bureau of Land Management","BIG APPLE SIGN CORP",902411.25
"Bureau of Ocean Energy Management","ENVIRONMENTAL SYSTEMS RESEARCH",962297.64
"Bureau of Ocean Energy Management","SCULLY CAPITAL SERVICES INC DEL",771393
"Bureau of Ocean Energy Management","CGI FEDERAL INC",737782
"Bureau of Ocean Energy Management","SMITHSONIAN INSTITUTION",640000
"Bureau of Ocean Energy Management","NATIONAL ACADEMY OF SCIENCES",554270
"Bureau of Ocean Energy Management","COUNTERTRADE PRODUCTS INC",535750.25
"Bureau of Ocean Energy Management","ICF INCORPORATED LLC",424715.98
"Bureau of Ocean Energy Management","INDUSTRIAL ECONOMICS INCORPORATED",407939.34
"Bureau of Ocean Energy Management","SOUTHALL ENVIRONMENTAL ASSOCIATES INCORPORATED",399979
"Bureau of Ocean Energy Management","UNIVERSITY OF OKLAHOMA",399773
"Bureau of Reclamation","DLT SOLUTIONS LLC",993653.73
"Bureau of Reclamation","CONDOR SECURITY OF AMERICA INC",979758.99
"Bureau of Reclamation","GLOBAL TECHNICAL SERVICES LLC",957932.5
"Bureau of Reclamation","INTEQ GROUP THE",933380
"Bureau of Reclamation","SURVEYING SERVICES INC",929061.79
"Bureau of Reclamation","ADVANCED SOLUTIONS GROUP LLC",894564.78
"Bureau of Reclamation","SOUND SCIENCE LLC",894223.26
"Bureau of Reclamation","TROFHOLZ TECHNOLOGIES INC",869772.74
"Bureau of Reclamation","SWCA INCORPORATED",868791.22
"Bureau of Reclamation","ASIR LLC",857589.12
"Bureau of Safety and Environmental Enforcement","COUNTERTRADE PRODUCTS INC",953833.86
"Bureau of Safety and Environmental Enforcement","MAR INCORPORATED",940149.44
"Bureau of Safety and Environmental Enforcement","CSI TECHNOLOGIES LLC",940011.26
"Bureau of Safety and Environmental Enforcement","NORBIT US LTD",859105.81
"Bureau of Safety and Environmental Enforcement","OASIS SYSTEMS LLC",784139.83
"Bureau of Safety and Environmental Enforcement","BOOZ ALLEN HAMILTON INC",692366.92
"Bureau of Safety and Environmental Enforcement","EXPONENT INC",662110
"Bureau of Safety and Environmental Enforcement","NATIONAL ACADEMY OF SCIENCES",657395.4
"Bureau of Safety and Environmental Enforcement","MYTHICS INC",603258.66
"Bureau of Safety and Environmental Enforcement","FCN INC",594474.41
"Bureau of the Fiscal Service","SOFTWARE TECH ENTERPRISES INCORPORATED",976219.8
"Bureau of the Fiscal Service","THUNDERCAT TECHNOLOGY LLC",956129.29
"Bureau of the Fiscal Service","INTELLIPEAK SOLUTIONS INC",929317.46
"Bureau of the Fiscal Service","LINE OF SIGHT LLC",924703.51
"Bureau of the Fiscal Service","ALEXANDER & TOM INC",907964
"Bureau of the Fiscal Service","NEW TECH SOLUTIONS INC",888121.1
"Bureau of the Fiscal Service","ONWIRE CONSULTING GROUP LLC",873600
"Bureau of the Fiscal Service","THE MITRE CORPORATION",867748
"Bureau of the Fiscal Service","SW RESOURCES INC",824291.28
"Bureau of the Fiscal Service","ALLIANCE TECHNOLOGY GROUP LLC",784647.82
"Centers for Disease Control and Prevention","LYNNTECH INC",999999
"Centers for Disease Control and Prevention","MOSQUITOMATE INC",999994.02
"Centers for Disease Control and Prevention","UNIVERSAL STABILIZATION TECHNOLOGIES INC",999938
"Centers for Disease Control and Prevention","GINER INC",999518
"Centers for Disease Control and Prevention","DENVER HEALTH AND HOSPITALS AUTHORITY",984232.54
"Centers for Disease Control and Prevention","ONE FEDERAL SOLUTION",983555.36
"Centers for Disease Control and Prevention","HEALTH FLORIDA DEPARTMENT OF",973610
"Centers for Disease Control and Prevention","ELSEVIER BV",973054.02
"Centers for Disease Control and Prevention","ADVANCED SYSTEMS DESIGN INC",969702.44
"Centers for Disease Control and Prevention","GEORGIA TECH RESEARCH CORPORATION",956381
"Centers for Medicare and Medicaid Services","MGA PARTNERS LLC",999459.97
"Centers for Medicare and Medicaid Services","ACCURATE BIOMETRICS INC",992500
"Centers for Medicare and Medicaid Services","RAINMAKERS STRATEGIC SOLUTIONS LLC",985399.86
"Centers for Medicare and Medicaid Services","SUSQUEHANNA ACTUARIAL CONSULTING INCORPORATED",974807
"Centers for Medicare and Medicaid Services","SWINGTECH CONSULTING INC",948033.37
"Centers for Medicare and Medicaid Services","ADNET ACCOUNTNET INC",928700
"Centers for Medicare and Medicaid Services","PREMIER HEALTHCARE SOLUTIONS INC",924250
"Centers for Medicare and Medicaid Services","MBL TECHNOLOGIES INC",908966.44
"Centers for Medicare and Medicaid Services","HCD INTERNATIONAL INC",905779.89
"Centers for Medicare and Medicaid Services","URBAN STRATEGIES LLC",899979
"Commission of Fine Arts","FIG LEAF SOFTWARE INC",199539.9
"Commission of Fine Arts","CGI FEDERAL INC",122468.52
"Commission of Fine Arts","MEADOWS DESIGN OFFICE",5000
"Commission of Fine Arts","CIRACOM INCORPORATED",3556.8
"Committee for Purchase from People Who Are Blind or Severely Disabled","WEMED SERVICES INC",208762.24
"Committee for Purchase from People Who Are Blind or Severely Disabled","NETWORKING INSTITUTE OF TECHNOLOGY INCORPORATED",46460
"Committee for Purchase from People Who Are Blind or Severely Disabled","BARNES SUPPLY COMPANY INC",32514.4
"Committee for Purchase from People Who Are Blind or Severely Disabled","HYMAN BRICKLE & SON INC",17920
"Committee for Purchase from People Who Are Blind or Severely Disabled","FEDERAL PRISON INDUSTRIES INC",16077.6
"Committee for Purchase from People Who Are Blind or Severely Disabled","MONO MACHINES LLC",15662.6
"Committee for Purchase from People Who Are Blind or Severely Disabled","GIGA INC",8192.4
"Committee for Purchase from People Who Are Blind or Severely Disabled","PRO BUY SOLUTIONS LLC",7812.8
"Committee for Purchase from People Who Are Blind or Severely Disabled","STAR ASSET SECURITY INC",7392
"Committee for Purchase from People Who Are Blind or Severely Disabled","NOBLE SALES CO INC",7217.5
"Commodity Futures Trading Commission","EXECUTIVE INFORMATION SYSTEMS",976243.34
"Commodity Futures Trading Commission","NORTHROP GRUMMAN SYSTEMS CORPORATION",971504.37
"Commodity Futures Trading Commission","LEIDOS ASPEN SYSTEMS CORPORATION",941270.02
"Commodity Futures Trading Commission","GOVCONNECTION INC",836386.15
"Commodity Futures Trading Commission","WEST PUBLISHING CORPORATION",766806.39
"Commodity Futures Trading Commission","LEGAL FILES SOFTWARE INC",714966.63
"Commodity Futures Trading Commission","SPARTAN BUSINESS & TECHNOLOGY SERVICES INC",713077
"Commodity Futures Trading Commission","STRATIVIA LLC",657806.8
"Commodity Futures Trading Commission","STG INC",601000
"Commodity Futures Trading Commission","PRIMESCAPE SOLUTIONS INC",600879.15
"Community Development Financial Institutions Fund","SUMMIT CONSULTING LLC",926217.76
"Community Development Financial Institutions Fund","I360TECHNOLOGIES INCORPORATED",879875.2
"Community Development Financial Institutions Fund","INTERNATIONAL BUSINESS MACHINES CORPORATION",438686.19
"Community Development Financial Institutions Fund","PANAMERICA COMPUTERS INC",382998.08
"Community Development Financial Institutions Fund","CORESPHERE LLC",308681
"Community Development Financial Institutions Fund","ADINO INC",126961.41
"Community Development Financial Institutions Fund","TRANSFORMATION STRATEGIES INC",81740.07
"Community Development Financial Institutions Fund","BIXAL SOLUTIONS INCORPORATED",59798.58
"Community Development Financial Institutions Fund","PENBAY SOLUTIONS LLC",42433.92
"Community Development Financial Institutions Fund","CONCENTRANCE CONSULTING GROUP INC",31340.79
"Consumer Financial Protection Bureau","BLUE TECH INC",957035.18
"Consumer Financial Protection Bureau","TCG INC",943047.02
"Consumer Financial Protection Bureau","DOMESTIC AWARDEES UNDISCLOSED",931736.06
"Consumer Financial Protection Bureau","SECTEK INC",861921.08
"Consumer Financial Protection Bureau","CELLCO PARTNERSHIP DBA VERIZON WIRELESS",813523.83
"Consumer Financial Protection Bureau","EPIQ CLASS ACTION & CLAIMS SOLUTIONS INC",801045.27
"Consumer Financial Protection Bureau","FAMILY HEALTH INTERNATIONAL",800544.82
"Consumer Financial Protection Bureau","INFORMA BUSINESS INTELLIGENCE INC",728124.4
"Consumer Financial Protection Bureau","GOVERNMENT ACQUISITIONS INC",695396.25
"Consumer Financial Protection Bureau","RAND CORPORATION THE",689453
"Consumer Product Safety Commission","FREEALLIANCECOM LLC",930143.16
"Consumer Product Safety Commission","COMMUNICATIONS TRAINING ANALYSIS CORPORATION",783071.7
"Consumer Product Safety Commission","RWD CONSULTING LLC",724784.14
"Consumer Product Safety Commission","SEA LTD",675542
"Consumer Product Safety Commission","ACE INFO SOLUTIONS INC",674053.06
"Consumer Product Safety Commission","EXECUTIVE INFORMATION SYSTEMS",597000.28
"Consumer Product Safety Commission","NORTH STAR IMAGING INC",579646.5
"Consumer Product Safety Commission","ARMEDIA LLC",564357.9
"Consumer Product Safety Commission","INDUSTRIAL ECONOMICS INCORPORATED",537151.78
"Consumer Product Safety Commission","ADVANCED INFORMATION SYSTEM INC",535107.24
"Corporation for National and Community Service","CLIFTONLARSONALLEN LLP",910735.9
"Corporation for National and Community Service","THOMAS CASTRO GUTIERREZ CPA LLC",836351.9
"Corporation for National and Community Service","NATIONAL OPINION RESEARCH CENTER",749124.94
"Corporation for National and Community Service","KPMG LLP",725959.77
"Corporation for National and Community Service","MATHEMATICA POLICY RESEARCH INC",679557.25
"Corporation for National and Community Service","CELLCO PARTNERSHIP DBA VERIZON WIRELESS",605586.71
"Corporation for National and Community Service","EDUCATION IOWA DEPARTMENT OF",596473.07
"Corporation for National and Community Service","KELLY PAUL KENNARD",475000
"Corporation for National and Community Service","CULPEPPER AND ASSOC SECURITY SERVICES INCORPORATED",442542.62
"Corporation for National and Community Service","SYSTEMS RESEARCH AND APPLICATI",409186
"Court Services and Offender Supervision Agency","HERMAN MILLER INC",976471.62
"Court Services and Offender Supervision Agency","MINBURN TECHNOLOGY GROUP LLC",867740.7
"Court Services and Offender Supervision Agency","MINDCUBED LLC",865360.08
"Court Services and Offender Supervision Agency","WISCONSIN AVENUE PSYCHIATRIC CENTER INC",839505
"Court Services and Offender Supervision Agency","SABREE INC",825527.88
"Court Services and Offender Supervision Agency","GUERZON AND ASSOCIATES LLC",775140
"Court Services and Offender Supervision Agency","SOFTWARE INFORMATION RESOURCE CORP",709539.26
"Court Services and Offender Supervision Agency","MAGADIA CONSULTING INC",646501.8
"Court Services and Offender Supervision Agency","AVANTURS LLC",491425.38
"Court Services and Offender Supervision Agency","CELLCO PARTNERSHIP DBA VERIZON WIRELESS",428894
"Defense Advanced Research Projects Agency","TECHNOLOGY SERVICE CORPORATION",999969
"Defense Advanced Research Projects Agency","PIASECKI AIRCRAFT CORPORATION",999929
"Defense Advanced Research Projects Agency","INFLAMMATIX INC",999923
"Defense Advanced Research Projects Agency","DORNERWORKS LTD",999845
"Defense Advanced Research Projects Agency","FLORIDA TURBINE TECHNOLOGIES INC",999299
"Defense Advanced Research Projects Agency","GARVEY SPACECRAFT CORPORATION",997693.92
