"source","target","value"
"Social Security","Insurance Claims and Indemnities",250915107245.96
"Medicare","Insurance Claims and Indemnities",179364205532.03
"Net Interest","Interest and Dividends",166694817781.68
"Health","Grants, Subsidies, and Contributions",116985884585.08
"Income Security","Grants, Subsidies, and Contributions",73355279233.51
"Medicare","Grants, Subsidies, and Contributions",64891059507.92
"General Government","Refunds",38443112971.09
"Education, Training, Employment, and Social Services","Grants, Subsidies, and Contributions",36930248273.47
"Income Security","Insurance Claims and Indemnities",34149955272.62
"Medicare","Other",28710036464.72
"Veterans Benefits and Services","Insurance Claims and Indemnities",25922959516.74
"Health","Insurance Claims and Indemnities",17174029828.44
"Social Security","Other",16213200461.12
"Health","Advisory, R&D, Medical, and Other Contracts",15944484343.86
"National Defense","Advisory, R&D, Medical, and Other Contracts",15029418608.74
"General Government","Personnel Compensation and Benefits",12505521023.8
"Veterans Benefits and Services","Personnel Compensation and Benefits",10875447268.44
"Agriculture","Acquisition of Assets",9836104626.65
"Administration of Justice","Personnel Compensation and Benefits",8757945712.39
"General Government","Advisory, R&D, Medical, and Other Contracts",7706658446.71
"Health","Personnel Compensation and Benefits",6492343326.52
"Veterans Benefits and Services","Advisory, R&D, Medical, and Other Contracts",6423877669.7
"Regional Development, Commerce, and Housing","Grants, Subsidies, and Contributions",6397066435.88
"Energy, Science, Space, and Technology","Advisory, R&D, Medical, and Other Contracts",5786006028.43
"Transportation","Grants, Subsidies, and Contributions",5745283125.81
"Transportation","Personnel Compensation and Benefits",5223204328.47
"Veterans Benefits and Services","Grants, Subsidies, and Contributions",5061245288.2
"Income Security","Other",4693680736.06
"Administration of Justice","Advisory, R&D, Medical, and Other Contracts",4590341112.37
"International Affairs","Grants, Subsidies, and Contributions",4158471103.52
"Regional Development, Commerce, and Housing","Advisory, R&D, Medical, and Other Contracts",3517707379.27
"Natural Resources and Environment","Personnel Compensation and Benefits",3413264944.28
"Transportation","Other",3352216971.2
"Veterans Benefits and Services","Printing and Supplies",3334254613.84
"Regional Development, Commerce, and Housing","Personnel Compensation and Benefits",3033330582.73
"Natural Resources and Environment","Advisory, R&D, Medical, and Other Contracts",2451509054.82
"National Defense","Personnel Compensation and Benefits",2440054807.61
"National Defense","Grants, Subsidies, and Contributions",2330840631.1
"Agriculture","Insurance Claims and Indemnities",2264342797.82
"General Government","Grants, Subsidies, and Contributions",2109016078.83
"General Government","Rent, Communications, and Utilities",2093339212.26
"Regional Development, Commerce, and Housing","Insurance Claims and Indemnities",1974403160.68
"National Defense","Acquisition of Assets",1857659446.34
"International Affairs","Personnel Compensation and Benefits",1797075484.5
"Social Security","Personnel Compensation and Benefits",1766129597.1
"Social Security","Advisory, R&D, Medical, and Other Contracts",1742548860.6
"Veterans Benefits and Services","Rent, Communications, and Utilities",1560388053.09
"Transportation","Acquisition of Assets",1465487814.76
"Health","Printing and Supplies",1445774498.46
"Veterans Benefits and Services","Acquisition of Assets",1386155555.01
"International Affairs","Advisory, R&D, Medical, and Other Contracts",1333538661.09
"Income Security","Advisory, R&D, Medical, and Other Contracts",1269402235.33
"Health","Other",1249177283.55
"Energy, Science, Space, and Technology","Personnel Compensation and Benefits",1146129776.57
"Administration of Justice","Rent, Communications, and Utilities",1132023795.28
"Transportation","Advisory, R&D, Medical, and Other Contracts",1072057459.91
"Income Security","Printing and Supplies",1011740740.49
"Agriculture","Grants, Subsidies, and Contributions",883132222.15
"Agriculture","Personnel Compensation and Benefits",881399061.76
"General Government","Acquisition of Assets",772965352.16
"Transportation","Printing and Supplies",753995536.6
"Natural Resources and Environment","Grants, Subsidies, and Contributions",705941422.28
"Education, Training, Employment, and Social Services","Advisory, R&D, Medical, and Other Contracts",672988616.02
"Net Interest","Grants, Subsidies, and Contributions",662323300.93
"General Government","Printing and Supplies",594575749.78
"General Government","Insurance Claims and Indemnities",590775402.3
"Education, Training, Employment, and Social Services","Personnel Compensation and Benefits",582397635.02
"Energy, Science, Space, and Technology","Grants, Subsidies, and Contributions",564175116.71
"Energy, Science, Space, and Technology","Travel and Transportation",559877879.29
"National Defense","Rent, Communications, and Utilities",552215157.35
"Administration of Justice","Refunds",546666724.48
"Energy, Science, Space, and Technology","Acquisition of Assets",522934388.52
"Regional Development, Commerce, and Housing","Other",519350987.37
"Administration of Justice","Printing and Supplies",489979512.2
"Veterans Benefits and Services","Travel and Transportation",483247094.85
"Agriculture","Advisory, R&D, Medical, and Other Contracts",450272494.2
"Regional Development, Commerce, and Housing","Travel and Transportation",423657187.5
"Income Security","Personnel Compensation and Benefits",413526718.06
"Administration of Justice","Insurance Claims and Indemnities",400605208.6
"International Affairs","Rent, Communications, and Utilities",396775335.15
"Administration of Justice","Grants, Subsidies, and Contributions",375170736.81
"International Affairs","Acquisition of Assets",356910500.19
"National Defense","Insurance Claims and Indemnities",343725446.28
"Regional Development, Commerce, and Housing","Rent, Communications, and Utilities",318477509.2
"Transportation","Rent, Communications, and Utilities",313229816.45
"Natural Resources and Environment","Rent, Communications, and Utilities",305377969.46
"International Affairs","Travel and Transportation",277590367.05
"Administration of Justice","Travel and Transportation",273017484.23
"Social Security","Rent, Communications, and Utilities",261615183.07
"General Government","Interest and Dividends",250865299.83
"Regional Development, Commerce, and Housing","Acquisition of Assets",196434136.58
"Medicare","Advisory, R&D, Medical, and Other Contracts",187539502.93
"Transportation","Travel and Transportation",179689735.09
"Health","Rent, Communications, and Utilities",161198166
"International Affairs","Printing and Supplies",147817035.62
"Natural Resources and Environment","Acquisition of Assets",134304670.55
"Administration of Justice","Other",126012961.87
"Agriculture","Rent, Communications, and Utilities",125150346.66
"Administration of Justice","Acquisition of Assets",124969443.04
"Natural Resources and Environment","Printing and Supplies",123003114.14
"Natural Resources and Environment","Travel and Transportation",118886182.61
"National Defense","Printing and Supplies",118373546.96
"International Affairs","Other",117329557.19
"Regional Development, Commerce, and Housing","Printing and Supplies",114142900.92
"Regional Development, Commerce, and Housing","Interest and Dividends",106829809.96
"Energy, Science, Space, and Technology","Rent, Communications, and Utilities",92626422.95
"Income Security","Refunds",89854327.71
"Health","Travel and Transportation",86792710.64
"National Defense","Travel and Transportation",83437486.38
"Energy, Science, Space, and Technology","Interest and Dividends",57324394.93
"Education, Training, Employment, and Social Services","Rent, Communications, and Utilities",48304445.41
"Energy, Science, Space, and Technology","Printing and Supplies",46105759.47
"Income Security","Rent, Communications, and Utilities",43877943.56
"Income Security","Interest and Dividends",42627126.65
"Income Security","Acquisition of Assets",39077113.52
"Agriculture","Travel and Transportation",36352171.63
"Natural Resources and Environment","Other",34767431.42
"Social Security","Acquisition of Assets",29394219.88
"Social Security","Printing and Supplies",28059120.1
"Medicare","Personnel Compensation and Benefits",25461373.26
"Health","Acquisition of Assets",24326428.61
"Agriculture","Printing and Supplies",22938530.75
"Social Security","Grants, Subsidies, and Contributions",21878104.33
"Energy, Science, Space, and Technology","Refunds",13357235.55
"International Affairs","Refunds",12881516.33
"Social Security","Travel and Transportation",10929744.13
"General Government","Other",10432756.39
"Education, Training, Employment, and Social Services","Travel and Transportation",10009894.86
"Natural Resources and Environment","Insurance Claims and Indemnities",6141954.82
"Income Security","Travel and Transportation",6095882.02
"Transportation","Refunds",5423502.03
"Transportation","Insurance Claims and Indemnities",3260143.44
"Education, Training, Employment, and Social Services","Printing and Supplies",2507559.47
"Medicare","Rent, Communications, and Utilities",1622528.41
"Regional Development, Commerce, and Housing","Refunds",1491091.18
"Education, Training, Employment, and Social Services","Insurance Claims and Indemnities",1470048.76
"International Affairs","Insurance Claims and Indemnities",1157385.86
"Natural Resources and Environment","Interest and Dividends",1074227.84
"Energy, Science, Space, and Technology","Insurance Claims and Indemnities",723471.49
"Health","Refunds",663366.35
"Education, Training, Employment, and Social Services","Other",324889.34
"National Defense","Interest and Dividends",210171.13
"Energy, Science, Space, and Technology","Other",166953.47
"Health","Interest and Dividends",112923.82
"Transportation","Interest and Dividends",97507.31
"Medicare","Travel and Transportation",66939.06
"Administration of Justice","Interest and Dividends",29247.72
"Education, Training, Employment, and Social Services","Refunds",22855.79
"Medicare","Refunds",21642.2
"Medicare","Acquisition of Assets",14555.36
"International Affairs","Interest and Dividends",10601.2
"Agriculture","Interest and Dividends",4278.02
"Education, Training, Employment, and Social Services","Interest and Dividends",3868.28
"Medicare","Printing and Supplies",3148.26
"Social Security","Interest and Dividends",752.13
"Veterans Benefits and Services","Interest and Dividends",133.14
