"name","value"
"Administration of Justice",32357008235.87
"Agriculture",15668854595.57
"Education, Training, Employment, and Social Services",43941170416.21
"Energy, Science, Space, and Technology",20235849211.13
"General Government",242774843109.17
"Health",343619923497.09
"Income Security",277718697160.38
"International Affairs",21759892881.89
"Medicare",517593315752.75
"National Defense",15230008199.02
"Natural Resources and Environment",16978268743.72
"Net Interest",248254641289.3
"Regional Development, Commerce, and Housing",75603742952.75
"Social Security",514922276590.25
"Transportation",37413833461.61
"Veterans Benefits and Services",101537953696.85
"Acquisition of Assets",14206146570.17
"Advisory, R&D, Medical, and Other Contracts",138461607717.16
"Grants, Subsidies, and Contributions",703406011581.73
"Insurance Claims and Indemnities",991456460087.12
"Interest and Dividends",247883135222.57
"Other",79265104168.04
"Personnel Compensation and Benefits",119737613458.2
"Printing and Supplies",13965367123.22
"Refunds",198310253184.21
"Rent, Communications, and Utilities",13752758897.83
"Travel and Transportation",5165821783.31
