"Agency","Subagency","Title","federal_account_code","q","fy","reporting_period_end","Obligation","Unobligated"
"Agency for International Development","Agency for International Development (no sub-agencies)","Acquisition of Property Revolving Fund, Agency for International Development","072-4590","1","2019","2018-12-31",0,46299.08
"Agency for International Development","Agency for International Development (no sub-agencies)","Assistance for Eastern Europe and the Baltic States, Funds Appropriated to the President","072-1010","1","2019","2018-12-31",197953.04,3888521.89
"Agency for International Development","Agency for International Development (no sub-agencies)","Assistance for Europe, Eurasia, and Central Asia, Funds Appropriated to the President, US Agency for International Development","072-0306","1","2019","2018-12-31",4925607.79,1056271153.28
"Agency for International Development","Agency for International Development (no sub-agencies)","Assistance for the Independent States of the Former Soviet Union, Funds Appropriated to the President","072-1093","1","2019","2018-12-31",0,7303944.57
"Agency for International Development","Agency for International Development (no sub-agencies)","Assistance for the New Independent States of the Former Soviet Union:  Ukraine Export Credit Insurance Program Account","072-0402","1","2019","2018-12-31",0,19778.82
"Agency for International Development","Agency for International Development (no sub-agencies)","Capital Investment Fund of the United States Agency for International Development, Funds Appropriated to the President","072-0300","1","2019","2018-12-31",2585139.94,92581790.66
"Agency for International Development","Agency for International Development (no sub-agencies)","Child Survival and Health Program Fund, Agency for International Development","072-1095","1","2019","2018-12-31",2458337.93,38053645.38
"Agency for International Development","Agency for International Development (no sub-agencies)","Civilian Stabilization Initiative, Funds Appropriated to the President, Agency for International Development","072-0305","1","2019","2018-12-31",135627.84,1239568.71
"Agency for International Development","Agency for International Development (no sub-agencies)","Demobilization and Transition Fund, Funds Appropriated to the President","072-1500","1","2019","2018-12-31",0,87327.23
"Agency for International Development","Agency for International Development (no sub-agencies)","Development Assistance, Agency for International Development, Funds Appropriated to the President","072-1021","1","2019","2018-12-31",17189519.27,4247903681.16
"Agency for International Development","Agency for International Development (no sub-agencies)","Development Credit Authority, United States Agency for International Development","072-1264","1","2019","2018-12-31",2181562.93,20606743.95
"Agency for International Development","Agency for International Development (no sub-agencies)","Development Loan Fund, Executive","072-4103","1","2019","2018-12-31",0,37379851.77
"Agency for International Development","Agency for International Development (no sub-agencies)","Education and Human Resources Development, Development Assistance, Economic Assistance, Funds Appropriated to the President","072-1025","1","2019","2018-12-31",0,2649022.09
"Agency for International Development","Agency for International Development (no sub-agencies)","Food and Nutrition, Development Assistance, Economic Assistance, Funds Appropriated to the President","072-1023","1","2019","2018-12-31",0,2767500.48
"Agency for International Development","Agency for International Development (no sub-agencies)","Foreign National Employees Separation Liability Fund, Agency for International Development","072-8342","1","2019","2018-12-31",5547780.54,3219552.72
"Agency for International Development","Agency for International Development (no sub-agencies)","Gifts and Donations, Agency for International Development","072-8824","1","2019","2018-12-31",18910552.34,68541906.71
"Agency for International Development","Agency for International Development (no sub-agencies)","HIV/AIDS Working Capital Fund, Agency for International Development","072-1033","1","2019","2018-12-31",233073491,179554396.06
"Agency for International Development","Agency for International Development (no sub-agencies)","Housing and Other Credit Guaranty Programs, Liquidating Account, Agency for International Development","072-4340","1","2019","2018-12-31",2286668.42,13626285.41
"Agency for International Development","Agency for International Development (no sub-agencies)","International Disaster Assistance, Funds Appropriated to the President, US Agency for International Development","072-1035","1","2019","2018-12-31",192430960.82,3519176799.31
"Agency for International Development","Agency for International Development (no sub-agencies)","Loan Guarantees to Israel Program, Reimbursements of Administrative Expenses, Agency for International Development","072-5318","1","2019","2018-12-31",0,27000
"Agency for International Development","Agency for International Development (no sub-agencies)","Micro and Small Enterprise Development Program Account, Agency for International Development","072-0400","1","2019","2018-12-31",0,2820398.21
"Agency for International Development","Agency for International Development (no sub-agencies)","Micro and Small Enterprise Development Program Accountt, Agency for International Development","072-0400","1","2019","2018-12-31",0,2820398.21
"Agency for International Development","Agency for International Development (no sub-agencies)","Operating Expenses of the United States Agency for International Development, Funds Appropriated to the President","072-1000","1","2019","2018-12-31",209583572.61,585847627.57
"Agency for International Development","Agency for International Development (no sub-agencies)","Operating Expenses of the United States Agency for International Development, Office of Inspector General, Funds Appropriated to the President","072-1007","1","2019","2018-12-31",10770816.22,42840693.63
"Agency for International Development","Agency for International Development (no sub-agencies)","Population Planning and Health, Development Assistance, Economic Assistance, Funds Appropriated to the President","072-1024","1","2019","2018-12-31",0,272441.82
"Agency for International Development","Agency for International Development (no sub-agencies)","Private Sector Revolving Fund, Liquidating Account, Agency for  International Development","072-4341","1","2019","2018-12-31",0,37575.11
"Agency for International Development","Agency for International Development (no sub-agencies)","Property Management Fund, Agency for International Development","072-4175","1","2019","2018-12-31",22431.25,27446477.28
"Agency for International Development","Agency for International Development (no sub-agencies)","Sahel Development Program, Funds Appropriated to the President","072-1012","1","2019","2018-12-31",0,451458.43
"Agency for International Development","Agency for International Development (no sub-agencies)","Sub-Saharan Africa Disaster Assistance, Funds Appropriated to the President","072-1040","1","2019","2018-12-31",0,81817.6
"Agency for International Development","Agency for International Development (no sub-agencies)","Sub-Saharan Africa, Development Assistance, Funds Appropriated to the President","072-1014","1","2019","2018-12-31",0,12607896.67
"Agency for International Development","Agency for International Development (no sub-agencies)","Technical Assistance, United States Dollars Advanced from Foreign Governments, Agency for International Development","072-8502","1","2019","2018-12-31",129999932.5,2133325
"Agency for International Development","Agency for International Development (no sub-agencies)","Transition Initiatives, Funds Appropriated to the President, US Agency for International Development","072-1027","1","2019","2018-12-31",4682386.9,47804950.17
"Agency for International Development","Agency for International Development (no sub-agencies)","Urban and Environmental Credit Program Account, Agency for International Development","072-0401","1","2019","2018-12-31",0,2154255.07
"Agency for International Development","Agency for International Development (no sub-agencies)","Working Capital Fund, International Assistance Program","072-4513","1","2019","2018-12-31",2662536.33,30070399.28
"Department of Agriculture","Agricultural Marketing Service","Expenses and Refunds, Inspection and Grading of Farm Products, Agricultural Marketing Service, Agriculture","012-8015","1","2019","2018-12-31",40215063.84,183524181.78
"Department of Agriculture","Agricultural Marketing Service","Funds for Strengthening Markets, Income, and Supply (Section 32), Agriculture","012-5209","1","2019","2018-12-31",184566282.51,10753550442.91
"Department of Agriculture","Agricultural Marketing Service","Marketing Services, Agricultural Marketing Service, Agriculture","012-2500","1","2019","2018-12-31",57245272.52,144268232.57
"Department of Agriculture","Agricultural Marketing Service","Payment to Expenses and Refunds, Inspection and Grading of Farm Products, Agricultural Marketing Service, Agriculture","012-0215","1","2019","2018-12-31",0,4250000
"Department of Agriculture","Agricultural Marketing Service","Payments to States and Possessions, Agricultural Marketing Service, Agriculture","012-2501","1","2019","2018-12-31",48988.28,93596169.06
"Department of Agriculture","Agricultural Marketing Service","Perishable Agricultural Commodities Act Fund, Agricultural Marketing Service, Agriculture","012-5070","1","2019","2018-12-31",1954234.51,24617803.45
"Department of Agriculture","Agricultural Marketing Service","Wool Research, Development and Promotion Trust Fund, Agricultural Marketing Service, Agriculture","012-8100","1","2019","2018-12-31",0,0
"Department of Agriculture","Agricultural Research Service","Buildings and Facilities, Agricultural Research Service, Agriculture","012-1401","1","2019","2018-12-31",2076588.72,333086502.96
"Department of Agriculture","Agricultural Research Service","Concessions Fees and Volunteer Services, Agricultural Research Service, Agriculture","012-5279","1","2019","2018-12-31",300,764450.86
"Department of Agriculture","Agricultural Research Service","Miscellaneous Contributed Funds, Agricultural Research Service, Agriculture","012-8214","1","2019","2018-12-31",3610726.03,56789748.87
"Department of Agriculture","Agricultural Research Service","Salaries and Expenses, Agricultural Research Service, Agricullture","012-1400","1","2019","2018-12-31",222716337.84,574697698.54
"Department of Agriculture","Animal and Plant Health Inspection Service","Agricultural Quarantine Inspection User Fee Account, Animal and Plant Health Inspection Service, Agriculture","012-5161","1","2019","2018-12-31",52847330.13,785083071.7
"Department of Agriculture","Animal and Plant Health Inspection Service","Buildings and Facilities, Animal and Plant Health Inspection Service, Agriculture","012-1601","1","2019","2018-12-31",84150.75,44690757.9
"Department of Agriculture","Animal and Plant Health Inspection Service","Foreign Service National Separation Liability Trust Fund, Animal and Plant Health Inspection Service, Agriculture","012-8558","1","2019","2018-12-31",0,0
"Department of Agriculture","Animal and Plant Health Inspection Service","Miscellaneous Contributed Funds, Animal and Plant Health Inspection Service, Agriculture","012-8226","1","2019","2018-12-31",1712949.8,13496953.54
"Department of Agriculture","Animal and Plant Health Inspection Service","Salaries and Expenses, Animal and Plant Health Inspection Service","012-1600","1","2019","2018-12-31",220532626.43,955330706.61
"Department of Agriculture","Buildings and Facilities","Agriculture Buildings and Facilities, Agriculture","012-0117","1","2019","2018-12-31",12815604.08,66100116.28
"Department of Agriculture","Economic Research Service","Economic Research Service, Agriculture","012-1701","1","2019","2018-12-31",12816978.08,22941808.69
"Department of Agriculture","Economic Research Service","Miscellaneous Contributed Funds, Economic Research Service, Agriculture","012-8227","1","2019","2018-12-31",0,1080.46
"Department of Agriculture","Executive Operations","National Appeals Division, Executive Operations, Agriculture","012-0706","1","2019","2018-12-31",2781786.93,4287380.46
"Department of Agriculture","Executive Operations","Office of Budget and Program Analysis, Executive Operations, Agriculture","012-0503","1","2019","2018-12-31",2020139.69,6107814.08
"Department of Agriculture","Executive Operations","Office of the Chief Economist, Executive Operations, Agriculture","012-0123","1","2019","2018-12-31",2956326.49,6707394.68
"Department of Agriculture","Executive Operations","Working Capital Fund, Agriculture","012-4609","1","2019","2018-12-31",179089005.48,495667648.48
"Department of Agriculture","Farm Production and Conservation Programs","Farm Production and Conservation Business Center, Farm Production and Conservation Programs,  Agriculture","012-0180","1","2019","2018-12-31",36960324.74,11475504.02
"Department of Agriculture","Farm Service Agency","Agricultural Credit Insurance Fund Program Account,  Farm Service Agency, Agriculture","012-1140","1","2019","2018-12-31",79107335.16,65258106.57
"Department of Agriculture","Farm Service Agency","Agricultural Credit Insurance Fund, Liquidating Account, Consolidated Farm Service Agency, Agriculture","012-4140","1","2019","2018-12-31",474028.85,4414146.33
"Department of Agriculture","Farm Service Agency","Agricultural Disaster Relief Trust Fund, Farm Service Agency, Agriculture","012-5531","1","2019","2018-12-31",12,15132317.34
"Department of Agriculture","Farm Service Agency","Agriculture Wool Apparel Manufacturers Trust Fund, Farm Service Agency, Agriculture","012-5636","1","2019","2018-12-31",0,15976598.32
"Department of Agriculture","Farm Service Agency","Commodity Credit Corporation Direct Loans, Liquidating Account, Agriculture","012-4338","1","2019","2018-12-31",0,1000000
"Department of Agriculture","Farm Service Agency","Commodity Credit Corporation Export Loans Program Account, Foreign Agricultural Service, Agriculture","012-1336","1","2019","2018-12-31",2154380.29,6218422.87
"Department of Agriculture","Farm Service Agency","Commodity Credit Corporation Fund, Agriculture","012-4336","1","2019","2018-12-31",11592078385.05,21207869334.22
"Department of Agriculture","Farm Service Agency","Conservation Reserve Program, Farm Service Agency, Agriculture","012-3319","1","2019","2018-12-31",0,1861.41
"Department of Agriculture","Farm Service Agency","Dairy Indemnity Program, Farm Service Agency, Agriculture","012-3314","1","2019","2018-12-31",0,93800
"Department of Agriculture","Farm Service Agency","Discrimination Claims Settlement, Farm Service Agency, Agriculture","012-1144","1","2019","2018-12-31",0,27789687.92
"Department of Agriculture","Farm Service Agency","Emergency Conservation Program, Farm Service Agency, Agriculture","012-3316","1","2019","2018-12-31",19132281.39,494279283.61
"Department of Agriculture","Farm Service Agency","Emergency Forest Restoration Program, Farm Service Agency, Agriculture","012-0171","1","2019","2018-12-31",281388.26,53151385.69
"Department of Agriculture","Farm Service Agency","Grassroots Source Water Protection Program, Farm Service Agency, Agriculture","012-3304","1","2019","2018-12-31",549940.41,53055163.54
"Department of Agriculture","Farm Service Agency","Pima Agriculture Cotton Trust Fund, Farm Service Agency, Agriculture","012-5635","1","2019","2018-12-31",0,129858.22
"Department of Agriculture","Farm Service Agency","Reimbursement for Net Realized Losses, Commodity Credit Corporation","012-3674","1","2019","2018-12-31",0,5929117007.54
"Department of Agriculture","Farm Service Agency","Salaries and Expenses, Farm Service Agency, Agriculture","012-0600","1","2019","2018-12-31",248671889.78,373962295.52
"Department of Agriculture","Farm Service Agency","State Mediation Grants, Farm Service Agency, Agriculture","012-0170","1","2019","2018-12-31",719749.58,694689.03
"Department of Agriculture","Farm Service Agency","Tobacco Trust Fund, Commodity Credit Corporation, Agriculture","012-8161","1","2019","2018-12-31",424289.26,17824567.97
"Department of Agriculture","Farm Service Agency","USDA Disaster Assistance, Farm Service Agency, Agriculture","012-2701","1","2019","2018-12-31",6507.83,4509934.95
"Department of Agriculture","Food and Nutrition Service","Child Nutrition Programs, Food Nutrition Service, Agriculture","012-3539","1","2019","2018-12-31",8581563706.66,9965273228.96
"Department of Agriculture","Food and Nutrition Service","Commodity Assistance Program, Food and Nutrition Service, Agriculture","012-3507","1","2019","2018-12-31",108719210.03,174917629.92
"Department of Agriculture","Food and Nutrition Service","Nutrition Programs Administration, Food and Nutrition Service, Agriculture","012-3508","1","2019","2018-12-31",28465612.21,57386965.96
"Department of Agriculture","Food and Nutrition Service","Special Supplemental Nutrition Program for Women, Infants and Children (WIC), Food and Nutrition Service","012-3510","1","2019","2018-12-31",2017688905.23,1324499432.42
"Department of Agriculture","Food and Nutrition Service","Supplemental Nutrition Assistance Program, Food and Nutrition Service, Agriculture","012-3505","1","2019","2018-12-31",17030699889.76,58085581841.84
"Department of Agriculture","Food Safety and Inspection Service","Expenses and Refunds, Inspection of Farm Products, Food Safety and Inspection Service, Agriculture","012-8137","1","2019","2018-12-31",2743499.32,5677283.48
"Department of Agriculture","Food Safety and Inspection Service","Food Safety and Inspection Service, Agriculture","012-3700","1","2019","2018-12-31",263920032.84,327586069.21
"Department of Agriculture","Foreign Agricultural Service","Food for Peace Title II Grants, Foreign Agricultural Service, Agriculture","012-2278","1","2019","2018-12-31",228375385.43,395651135.39
