"source","target","value"
"Social Security","Insurance Claims and Indemnities",729832628977.92
"Medicare","Insurance Claims and Indemnities",534644898686.92
"Net Interest","Interest and Dividends",422567843463.9
"Health","Grants, Subsidies, and Contributions",363097469982.26
"General Government","Refunds",303193817710.18
"Income Security","Grants, Subsidies, and Contributions",242746922272.12
"Medicare","Grants, Subsidies, and Contributions",203727424709.86
"Income Security","Insurance Claims and Indemnities",79220327196.11
"Veterans Benefits and Services","Insurance Claims and Indemnities",70304367857.3
"Education, Training, Employment, and Social Services","Grants, Subsidies, and Contributions",65353379807.98
"Medicare","Other",64974431515.92
"Health","Advisory, R&D, Medical, and Other Contracts",48329779193.71
"Health","Insurance Claims and Indemnities",42424166278.92
"Social Security","Other",37739782322.49
"General Government","Personnel Compensation and Benefits",37392036503.22
"Regional Development, Commerce, and Housing","Grants, Subsidies, and Contributions",37201941288.68
"Transportation","Grants, Subsidies, and Contributions",32265235521.92
"Veterans Benefits and Services","Personnel Compensation and Benefits",31431817913.79
"Regional Development, Commerce, and Housing","Advisory, R&D, Medical, and Other Contracts",29016966322.42
"Administration of Justice","Personnel Compensation and Benefits",26240767191.94
"National Defense","Advisory, R&D, Medical, and Other Contracts",23925893114.57
"Energy, Science, Space, and Technology","Advisory, R&D, Medical, and Other Contracts",21972425365.02
"Health","Personnel Compensation and Benefits",20184704938.35
"Veterans Benefits and Services","Advisory, R&D, Medical, and Other Contracts",19855325040.33
"National Defense","Grants, Subsidies, and Contributions",16588290548.49
"Transportation","Personnel Compensation and Benefits",15334600235.33
"General Government","Advisory, R&D, Medical, and Other Contracts",14627125083.86
"International Affairs","Grants, Subsidies, and Contributions",14434024372.86
"Administration of Justice","Advisory, R&D, Medical, and Other Contracts",13518236997.17
"Veterans Benefits and Services","Grants, Subsidies, and Contributions",13292978981.5
"Natural Resources and Environment","Personnel Compensation and Benefits",10798250035.84
"Regional Development, Commerce, and Housing","Personnel Compensation and Benefits",10275609712.48
"Transportation","Other",9942110026.51
"Veterans Benefits and Services","Printing and Supplies",9486750143.57
"Regional Development, Commerce, and Housing","Insurance Claims and Indemnities",9461413453.34
"International Affairs","Advisory, R&D, Medical, and Other Contracts",9428866049.68
"Natural Resources and Environment","Advisory, R&D, Medical, and Other Contracts",9295241252.22
"Transportation","Advisory, R&D, Medical, and Other Contracts",7985924283.64
"National Defense","Personnel Compensation and Benefits",7191900925.06
"Income Security","Other",6737407977.68
"International Affairs","Personnel Compensation and Benefits",6229719205.21
"General Government","Rent, Communications, and Utilities",6076820815.45
"General Government","Grants, Subsidies, and Contributions",5944528886.86
"Social Security","Personnel Compensation and Benefits",5151382457.87
"Natural Resources and Environment","Grants, Subsidies, and Contributions",4833719240.85
"Agriculture","Advisory, R&D, Medical, and Other Contracts",4572946204.5
"Health","Printing and Supplies",4511836110.37
"Agriculture","Acquisition of Assets",4461908380.95
"Energy, Science, Space, and Technology","Grants, Subsidies, and Contributions",4365084051.54
"Agriculture","Insurance Claims and Indemnities",4187504017.44
"Veterans Benefits and Services","Acquisition of Assets",4103037845.9
"Administration of Justice","Rent, Communications, and Utilities",3986420113.25
"Energy, Science, Space, and Technology","Personnel Compensation and Benefits",3943983940.04
"Social Security","Advisory, R&D, Medical, and Other Contracts",3664062814.62
"Income Security","Advisory, R&D, Medical, and Other Contracts",3424625216.25
"Agriculture","Grants, Subsidies, and Contributions",3368701624.1
"Energy, Science, Space, and Technology","Acquisition of Assets",3366428421.63
"General Government","Acquisition of Assets",3182267333.07
"Education, Training, Employment, and Social Services","Advisory, R&D, Medical, and Other Contracts",3003992969.47
"National Defense","Acquisition of Assets",2968365688.26
"Agriculture","Personnel Compensation and Benefits",2861754654.62
"Veterans Benefits and Services","Rent, Communications, and Utilities",2656164588.61
"International Affairs","Acquisition of Assets",2155452835.99
"Net Interest","Grants, Subsidies, and Contributions",1976479592.31
"International Affairs","Other",1973866091.04
"General Government","Printing and Supplies",1889045076.34
"Education, Training, Employment, and Social Services","Personnel Compensation and Benefits",1837329076.57
"Health","Other",1654337595.54
"Income Security","Printing and Supplies",1527692345.34
"Energy, Science, Space, and Technology","Travel and Transportation",1487268733.41
"International Affairs","Rent, Communications, and Utilities",1444004090.86
"General Government","Insurance Claims and Indemnities",1382443150.2
"Administration of Justice","Printing and Supplies",1354970362.93
"National Defense","Rent, Communications, and Utilities",1311011489.27
"Regional Development, Commerce, and Housing","Acquisition of Assets",1286910629.69
"Administration of Justice","Refunds",1271681362.67
"Natural Resources and Environment","Rent, Communications, and Utilities",1199583933.7
"Regional Development, Commerce, and Housing","Printing and Supplies",1161635554.72
"Natural Resources and Environment","Other",1151007966.57
"Veterans Benefits and Services","Travel and Transportation",1105649365.23
"Medicare","Advisory, R&D, Medical, and Other Contracts",1082917799.21
"Regional Development, Commerce, and Housing","Travel and Transportation",1062855996.49
"Regional Development, Commerce, and Housing","Rent, Communications, and Utilities",1051918779.84
"Transportation","Rent, Communications, and Utilities",1047725388.58
"Administration of Justice","Travel and Transportation",1045441581.53
"Income Security","Personnel Compensation and Benefits",1042995575.21
"International Affairs","Travel and Transportation",994661806.69
"Administration of Justice","Acquisition of Assets",935804997
"Administration of Justice","Insurance Claims and Indemnities",906065759.81
"Administration of Justice","Grants, Subsidies, and Contributions",883907919.34
"Transportation","Acquisition of Assets",865504542.77
"Social Security","Rent, Communications, and Utilities",854347137.75
"Transportation","Printing and Supplies",783730290.05
"Transportation","Travel and Transportation",709287748.53
"General Government","Interest and Dividends",683503210.46
"Natural Resources and Environment","Refunds",667351539.78
"International Affairs","Printing and Supplies",629326249.19
"Natural Resources and Environment","Acquisition of Assets",628801198.05
"Health","Rent, Communications, and Utilities",626945417.19
"Natural Resources and Environment","Printing and Supplies",548022121.22
"Natural Resources and Environment","Travel and Transportation",433027711.21
"Agriculture","Rent, Communications, and Utilities",418984937.72
"National Defense","Printing and Supplies",370697128.37
"Regional Development, Commerce, and Housing","Interest and Dividends",328174117.92
"Energy, Science, Space, and Technology","Rent, Communications, and Utilities",323830320.91
"Income Security","Refunds",307092129.44
"Health","Travel and Transportation",297805749.69
"Energy, Science, Space, and Technology","Interest and Dividends",289265115.89
"National Defense","Travel and Transportation",263093701.86
"Education, Training, Employment, and Social Services","Rent, Communications, and Utilities",258744112.69
"Social Security","Acquisition of Assets",211367801.46
"Veterans Benefits and Services","Other",204492670.26
"General Government","Travel and Transportation",176265490.89
"Energy, Science, Space, and Technology","Printing and Supplies",158711719.98
"Agriculture","Other",147806311.16
"Income Security","Rent, Communications, and Utilities",134323680.51
"Health","Acquisition of Assets",121631884.81
"Income Security","Acquisition of Assets",118162176.48
"Administration of Justice","Other",114232611.92
"Agriculture","Printing and Supplies",112647585.69
"Agriculture","Travel and Transportation",104559191.2
"Natural Resources and Environment","Insurance Claims and Indemnities",103049106.88
"International Affairs","Refunds",90177315.85
"Income Security","Interest and Dividends",86414487.86
"Medicare","Personnel Compensation and Benefits",71254275.79
"National Defense","Other",49528529.43
"Social Security","Printing and Supplies",49123151.62
"National Defense","Insurance Claims and Indemnities",47605986.23
"Education, Training, Employment, and Social Services","Travel and Transportation",45863409.39
"General Government","Other",40746778.74
"Education, Training, Employment, and Social Services","Acquisition of Assets",38171225.15
"Energy, Science, Space, and Technology","Refunds",27379382.53
"Social Security","Grants, Subsidies, and Contributions",24824658.22
"Health","Refunds",22022150.67
"Social Security","Travel and Transportation",21337374.43
"Regional Development, Commerce, and Housing","Other",20940675.8
"Income Security","Travel and Transportation",19171884.75
"Energy, Science, Space, and Technology","Insurance Claims and Indemnities",15331277.3
"Education, Training, Employment, and Social Services","Printing and Supplies",10890762.14
"Education, Training, Employment, and Social Services","Insurance Claims and Indemnities",9687954.51
"International Affairs","Insurance Claims and Indemnities",9605395.35
"Transportation","Refunds",4669589.33
"Regional Development, Commerce, and Housing","Refunds",3713622.31
"Medicare","Rent, Communications, and Utilities",3415079.75
"Transportation","Interest and Dividends",2660225.21
"Medicare","Refunds",2527179.35
"Natural Resources and Environment","Interest and Dividends",2433560.48
"Agriculture","Refunds",1350953.8
"Transportation","Insurance Claims and Indemnities",728960.01
"Agriculture","Interest and Dividends",423033.48
"Net Interest","Advisory, R&D, Medical, and Other Contracts",387252
"National Defense","Interest and Dividends",303270.8
"Medicare","Travel and Transportation",286722.24
"Health","Interest and Dividends",142070.63
"Administration of Justice","Interest and Dividends",113345.53
"Medicare","Printing and Supplies",77789.89
"International Affairs","Interest and Dividends",49029.4
"Education, Training, Employment, and Social Services","Interest and Dividends",3339.86
"Social Security","Interest and Dividends",1991.14
"Medicare","Acquisition of Assets",633.08
"National Defense","Refunds",167.91
"Veterans Benefits and Services","Interest and Dividends",13.05
