"Agency","Subagency","Title","federal_account_code","q","fy","reporting_period_end","Obligation","Unobligated"
"Agency for International Development","Agency for International Development (no sub-agencies)","Acquisition of Property Revolving Fund, Agency for International Development","072-4590","1","2018","2017-12-31",0,46299.08
"Agency for International Development","Agency for International Development (no sub-agencies)","Assistance for Eastern Europe and the Baltic States, Funds Appropriated to the President","072-1010","1","2018","2017-12-31",7585.66,4473092.17
"Agency for International Development","Agency for International Development (no sub-agencies)","Assistance for Europe, Eurasia, and Central Asia, Funds Appropriated to the President, US Agency for International Development","072-0306","1","2018","2017-12-31",77333528.04,1087863574.24
"Agency for International Development","Agency for International Development (no sub-agencies)","Assistance for the Independent States of the Former Soviet Union, Funds Appropriated to the President","072-1093","1","2018","2017-12-31",0,9865584.74
"Agency for International Development","Agency for International Development (no sub-agencies)","Assistance for the New Independent States of the Former Soviet Union:  Ukraine Export Credit Insurance Program Account","072-0402","1","2018","2017-12-31",0,19778.82
"Agency for International Development","Agency for International Development (no sub-agencies)","Capital Investment Fund of the United States Agency for International Development, Funds Appropriated to the President","072-0300","1","2018","2017-12-31",1957022.18,61737886.18
"Agency for International Development","Agency for International Development (no sub-agencies)","Child Survival and Health Program Fund, Agency for International Development","072-1095","1","2018","2017-12-31",0,34142204.12
"Agency for International Development","Agency for International Development (no sub-agencies)","Civilian Stabilization Initiative, Funds Appropriated to the President, Agency for International Development","072-0305","1","2018","2017-12-31",114432.16,1808195.72
"Agency for International Development","Agency for International Development (no sub-agencies)","Demobilization and Transition Fund, Funds Appropriated to the President","072-1500","1","2018","2017-12-31",0,87327.23
"Agency for International Development","Agency for International Development (no sub-agencies)","Development Assistance, Agency for International Development, Funds Appropriated to the President","072-1021","1","2018","2017-12-31",95138535.2,3737641943.04
"Agency for International Development","Agency for International Development (no sub-agencies)","Development Credit Authority, United States Agency for International Development","072-1264","1","2018","2017-12-31",1391327,23216047.4
"Agency for International Development","Agency for International Development (no sub-agencies)","Development Loan Fund, Executive","072-4103","1","2018","2017-12-31",0,40686070.77
"Agency for International Development","Agency for International Development (no sub-agencies)","Education and Human Resources Development, Development Assistance, Economic Assistance, Funds Appropriated to the President","072-1025","1","2018","2017-12-31",0,2649022.09
"Agency for International Development","Agency for International Development (no sub-agencies)","Food and Nutrition, Development Assistance, Economic Assistance, Funds Appropriated to the President","072-1023","1","2018","2017-12-31",0,2767500.48
"Agency for International Development","Agency for International Development (no sub-agencies)","Foreign National Employees Separation Liability Fund, Agency for International Development","072-8342","1","2018","2017-12-31",5002521.67,12332805.78
"Agency for International Development","Agency for International Development (no sub-agencies)","Gifts and Donations, Agency for International Development","072-8824","1","2018","2017-12-31",17834464.93,51040607.25
"Agency for International Development","Agency for International Development (no sub-agencies)","HIV/AIDS Working Capital Fund, Agency for International Development","072-1033","1","2018","2017-12-31",51384639,551167468.64
"Agency for International Development","Agency for International Development (no sub-agencies)","Housing and Other Credit Guaranty Programs, Liquidating Account, Agency for International Development","072-4340","1","2018","2017-12-31",1997918.42,13851429.87
"Agency for International Development","Agency for International Development (no sub-agencies)","International Disaster Assistance, Funds Appropriated to the President, US Agency for International Development","072-1035","1","2018","2017-12-31",182118914.17,2191977847.88
"Agency for International Development","Agency for International Development (no sub-agencies)","Loan Guarantees to Israel Program, Reimbursements of Administrative Expenses, Agency for International Development","072-5318","1","2018","2017-12-31",0,27000
"Agency for International Development","Agency for International Development (no sub-agencies)","MENA Loan Guarantee Program Account, Funds Appropriated to the President, US Agency for International Development","072-0409","1","2018","2017-12-31",0,300729536
"Agency for International Development","Agency for International Development (no sub-agencies)","Micro and Small Enterprise Development Program Accountt, Agency for International Development","072-0400","1","2018","2017-12-31",0,2658998.21
"Agency for International Development","Agency for International Development (no sub-agencies)","Operating Expenses of the United States Agency for International Development, Funds Appropriated to the President","072-1000","1","2018","2017-12-31",195631925.14,409320449.54
"Agency for International Development","Agency for International Development (no sub-agencies)","Operating Expenses of the United States Agency for International Development, Office of Inspector General, Funds Appropriated to the President","072-1007","1","2018","2017-12-31",10423870.9,29956517.28
"Agency for International Development","Agency for International Development (no sub-agencies)","Population Planning and Health, Development Assistance, Economic Assistance, Funds Appropriated to the President","072-1024","1","2018","2017-12-31",0,272441.82
"Agency for International Development","Agency for International Development (no sub-agencies)","Private Sector Revolving Fund, Liquidating Account, Agency for  International Development","072-4341","1","2018","2017-12-31",0,37575.11
"Agency for International Development","Agency for International Development (no sub-agencies)","Property Management Fund, Agency for International Development","072-4175","1","2018","2017-12-31",30555.6,26910877.82
"Agency for International Development","Agency for International Development (no sub-agencies)","Sahel Development Program, Funds Appropriated to the President","072-1012","1","2018","2017-12-31",0,451458.43
"Agency for International Development","Agency for International Development (no sub-agencies)","Sub-Saharan Africa Disaster Assistance, Funds Appropriated to the President","072-1040","1","2018","2017-12-31",0,81817.6
"Agency for International Development","Agency for International Development (no sub-agencies)","Sub-Saharan Africa, Development Assistance, Funds Appropriated to the President","072-1014","1","2018","2017-12-31",0,12607896.67
"Agency for International Development","Agency for International Development (no sub-agencies)","Technical Assistance, United States Dollars Advanced from Foreign Governments, Agency for International Development","072-8502","1","2018","2017-12-31",0,1848966
"Agency for International Development","Agency for International Development (no sub-agencies)","Transition Initiatives, Funds Appropriated to the President, US Agency for International Development","072-1027","1","2018","2017-12-31",5061041.54,37470798.92
"Agency for International Development","Agency for International Development (no sub-agencies)","Urban and Environmental Credit Program Account, Agency for International Development","072-0401","1","2018","2017-12-31",0,2154255.07
"Agency for International Development","Agency for International Development (no sub-agencies)","Working Capital Fund, International Assistance Program","072-4513","1","2018","2017-12-31",4133447.3,32083413.64
"Department of Agriculture","Agricultural Marketing Service","Expenses and Refunds, Inspection and Grading of Farm Products, Agricultural Marketing Service, Agriculture","012-8015","1","2018","2017-12-31",0,222919249.32
"Department of Agriculture","Agricultural Marketing Service","Funds for Strengthening Markets, Income, and Supply (Section 32), Agriculture","012-5209","1","2018","2017-12-31",242251882.57,10184423769.89
"Department of Agriculture","Agricultural Marketing Service","Marketing Services, Agricultural Marketing Service, Agriculture","012-2500","1","2018","2017-12-31",20573700.09,98116990.62
"Department of Agriculture","Agricultural Marketing Service","Payment to Expenses and Refunds, Inspection and Grading of Farm Products, Agricultural Marketing Service, Agriculture","012-0215","1","2018","2017-12-31",180573308.19,190996398.06
"Department of Agriculture","Agricultural Marketing Service","Payments to States and Possessions, Agricultural Marketing Service, Agriculture","012-2501","1","2018","2017-12-31",779331.16,9287967.34
"Department of Agriculture","Agricultural Marketing Service","Perishable Agricultural Commodities Act Fund, Agricultural Marketing Service, Agriculture","012-5070","1","2018","2017-12-31",2281731.1,23078533.35
"Department of Agriculture","Agricultural Marketing Service","Wool Research, Development and Promotion Trust Fund, Agricultural Marketing Service, Agriculture","012-8100","1","2018","2017-12-31",0,153000
"Department of Agriculture","Agricultural Research Service","Buildings and Facilities, Agricultural Research Service, Agriculture","012-1401","1","2018","2017-12-31",3212405,197783288.94
"Department of Agriculture","Agricultural Research Service","Concessions Fees and Volunteer Services, Agricultural Research Service, Agriculture","012-5279","1","2018","2017-12-31",2188.45,660871.59
"Department of Agriculture","Agricultural Research Service","Miscellaneous Contributed Funds, Agricultural Research Service, Agriculture","012-8214","1","2018","2017-12-31",4367850.18,58479280.86
"Department of Agriculture","Agricultural Research Service","Salaries and Expenses, Agricultural Research Service, Agricullture","012-1400","1","2018","2017-12-31",16262158.27,47168302.89
"Department of Agriculture","Animal and Plant Health Inspection Service","Agricultural Quarantine Inspection User Fee Account, Animal and Plant Health Inspection Service, Agriculture","012-5161","1","2018","2017-12-31",49413807.5,742939254.62
"Department of Agriculture","Animal and Plant Health Inspection Service","Buildings and Facilities, Animal and Plant Health Inspection Service, Agriculture","012-1601","1","2018","2017-12-31",165595842.4,344213625.64
"Department of Agriculture","Animal and Plant Health Inspection Service","Foreign Service National Separation Liability Trust Fund, Animal and Plant Health Inspection Service, Agriculture","012-8558","1","2018","2017-12-31",0,0
"Department of Agriculture","Animal and Plant Health Inspection Service","Miscellaneous Contributed Funds, Animal and Plant Health Inspection Service, Agriculture","012-8226","1","2018","2017-12-31",2652470.44,12305781.68
"Department of Agriculture","Animal and Plant Health Inspection Service","Salaries and Expenses, Animal and Plant Health Inspection Service","012-1600","1","2018","2017-12-31",3994605.72,92599268
"Department of Agriculture","Buildings and Facilities","Agriculture Buildings and Facilities, Agriculture","012-0117","1","2018","2017-12-31",14291211.91,63060149.7
"Department of Agriculture","Economic Research Service","Economic Research Service, Agriculture","012-1701","1","2018","2017-12-31",14890692.64,14780217.85
