date,name,amount
20141001,Marketplace Payments,0
20141002,Marketplace Payments,0
20141003,Marketplace Payments,0
20141006,Marketplace Payments,0
20141007,Marketplace Payments,0
20141008,Marketplace Payments,0
20141009,Marketplace Payments,0
20141010,Marketplace Payments,0
20141014,Marketplace Payments,0
20141015,Marketplace Payments,0
20141016,Marketplace Payments,0
20141017,Marketplace Payments,0
20141020,Marketplace Payments,0
20141021,Marketplace Payments,1770
20141022,Marketplace Payments,0
20141023,Marketplace Payments,0
20141024,Marketplace Payments,0
20141027,Marketplace Payments,0
20141028,Marketplace Payments,0
20141029,Marketplace Payments,0
20141030,Marketplace Payments,0
20141031,Marketplace Payments,0
20141103,Marketplace Payments,0
20141104,Marketplace Payments,0
20141105,Marketplace Payments,0
20141106,Marketplace Payments,0
20141107,Marketplace Payments,0
20141110,Marketplace Payments,0
20141112,Marketplace Payments,0
20141113,Marketplace Payments,0
20141114,Marketplace Payments,0
20141117,Marketplace Payments,0
20141118,Marketplace Payments,0
20141119,Marketplace Payments,0
20141120,Marketplace Payments,1792
20141121,Marketplace Payments,0
20141124,Marketplace Payments,0
20141125,Marketplace Payments,0
20141126,Marketplace Payments,0
20141128,Marketplace Payments,0
20141201,Marketplace Payments,0
20141202,Marketplace Payments,0
20141203,Marketplace Payments,0
20141204,Marketplace Payments,0
20141205,Marketplace Payments,0
20141208,Marketplace Payments,0
20141209,Marketplace Payments,0
20141210,Marketplace Payments,0
20141211,Marketplace Payments,0
20141212,Marketplace Payments,0
20141215,Marketplace Payments,0
20141216,Marketplace Payments,0
20141217,Marketplace Payments,0
20141218,Marketplace Payments,0
20141219,Marketplace Payments,1672
20141222,Marketplace Payments,0
20141223,Marketplace Payments,0
20141224,Marketplace Payments,0
20141226,Marketplace Payments,0
20141229,Marketplace Payments,0
20141230,Marketplace Payments,0
20141231,Marketplace Payments,0
20150102,Marketplace Payments,0
20150105,Marketplace Payments,0
20150106,Marketplace Payments,0
20150107,Marketplace Payments,0
20150108,Marketplace Payments,0
20150109,Marketplace Payments,0
20150112,Marketplace Payments,0
20150113,Marketplace Payments,0
20150114,Marketplace Payments,0
20150115,Marketplace Payments,0
20150116,Marketplace Payments,0
20150120,Marketplace Payments,0
20150121,Marketplace Payments,0
20150122,Marketplace Payments,1532
20150123,Marketplace Payments,0
20150126,Marketplace Payments,0
20150127,Marketplace Payments,0
20150128,Marketplace Payments,0
20150129,Marketplace Payments,0
20150130,Marketplace Payments,0
20150202,Marketplace Payments,0
20150203,Marketplace Payments,0
20150204,Marketplace Payments,0
20150205,Marketplace Payments,0
20150206,Marketplace Payments,0
20150209,Marketplace Payments,0
20150210,Marketplace Payments,0
20150211,Marketplace Payments,0
20150212,Marketplace Payments,0
20150213,Marketplace Payments,0
20150217,Marketplace Payments,0
20150218,Marketplace Payments,0
20150219,Marketplace Payments,0
20150220,Marketplace Payments,0
20150223,Marketplace Payments,2607
20150224,Marketplace Payments,0
20150225,Marketplace Payments,0
20150226,Marketplace Payments,0
20150227,Marketplace Payments,0
20150302,Marketplace Payments,0
20150303,Marketplace Payments,0
20150304,Marketplace Payments,0
20150305,Marketplace Payments,0
20150306,Marketplace Payments,0
20150309,Marketplace Payments,0
20150310,Marketplace Payments,0
20150311,Marketplace Payments,0
20150312,Marketplace Payments,0
20150313,Marketplace Payments,0
20150316,Marketplace Payments,0
20150317,Marketplace Payments,0
20150318,Marketplace Payments,0
20150319,Marketplace Payments,0
20150320,Marketplace Payments,0
20150323,Marketplace Payments,2632
20150324,Marketplace Payments,0
20150325,Marketplace Payments,0
20150326,Marketplace Payments,0
20150327,Marketplace Payments,0
20150330,Marketplace Payments,0
20150331,Marketplace Payments,0
20150401,Marketplace Payments,0
20150402,Marketplace Payments,0
20150403,Marketplace Payments,0
20150406,Marketplace Payments,0
20150407,Marketplace Payments,0
20150408,Marketplace Payments,0
20150409,Marketplace Payments,0
20150410,Marketplace Payments,0
20150413,Marketplace Payments,0
20150414,Marketplace Payments,0
20150415,Marketplace Payments,0
20150416,Marketplace Payments,0
20150417,Marketplace Payments,3058
20150420,Marketplace Payments,0
20150421,Marketplace Payments,0
20150422,Marketplace Payments,0
20150423,Marketplace Payments,0
20150424,Marketplace Payments,0
20150427,Marketplace Payments,0
20150428,Marketplace Payments,0
20150429,Marketplace Payments,0
20150430,Marketplace Payments,0
20150501,Marketplace Payments,0
20150504,Marketplace Payments,0
20150505,Marketplace Payments,0
20150506,Marketplace Payments,0
20150507,Marketplace Payments,0
20150508,Marketplace Payments,0
20150511,Marketplace Payments,0
20150512,Marketplace Payments,0
20150513,Marketplace Payments,0
20150514,Marketplace Payments,0
20150515,Marketplace Payments,0
20150518,Marketplace Payments,0
20150519,Marketplace Payments,0
20150520,Marketplace Payments,2743
20150521,Marketplace Payments,0
20150522,Marketplace Payments,0
20150526,Marketplace Payments,0
20150527,Marketplace Payments,0
20150528,Marketplace Payments,0
20150529,Marketplace Payments,0
20150601,Marketplace Payments,0
20150602,Marketplace Payments,0
20150603,Marketplace Payments,0
20150604,Marketplace Payments,0
20150605,Marketplace Payments,0
20150608,Marketplace Payments,0
20150609,Marketplace Payments,0
20150610,Marketplace Payments,0
20150611,Marketplace Payments,0
20150612,Marketplace Payments,0
20150615,Marketplace Payments,0
20150616,Marketplace Payments,0
20150617,Marketplace Payments,0
20150618,Marketplace Payments,0
20150619,Marketplace Payments,0
20150622,Marketplace Payments,0
20150623,Marketplace Payments,0
20150624,Marketplace Payments,0
20150625,Marketplace Payments,2467
20150626,Marketplace Payments,0
20150629,Marketplace Payments,0
20150630,Marketplace Payments,0
20150701,Marketplace Payments,0
20150702,Marketplace Payments,0
20150703,Marketplace Payments,0
20150706,Marketplace Payments,0
20150707,Marketplace Payments,0
20150708,Marketplace Payments,0
20150709,Marketplace Payments,0
20150710,Marketplace Payments,0
20150713,Marketplace Payments,0
20150714,Marketplace Payments,0
20150715,Marketplace Payments,0
20150716,Marketplace Payments,0
20150717,Marketplace Payments,0
20150720,Marketplace Payments,0
20150721,Marketplace Payments,2680
20150722,Marketplace Payments,0
20150723,Marketplace Payments,0
20150724,Marketplace Payments,0
20150727,Marketplace Payments,0
20150728,Marketplace Payments,0
20150729,Marketplace Payments,0
20150730,Marketplace Payments,0
20150731,Marketplace Payments,0
20150803,Marketplace Payments,0
20150804,Marketplace Payments,0
20150805,Marketplace Payments,0
20150806,Marketplace Payments,0
20150807,Marketplace Payments,0
20150810,Marketplace Payments,0
20150811,Marketplace Payments,0
20150812,Marketplace Payments,0
20150813,Marketplace Payments,0
20150814,Marketplace Payments,0
20150817,Marketplace Payments,0
20150818,Marketplace Payments,0
20150819,Marketplace Payments,8093
20150820,Marketplace Payments,0
20150821,Marketplace Payments,0
20150824,Marketplace Payments,0
20150825,Marketplace Payments,0
20150826,Marketplace Payments,0
20150827,Marketplace Payments,0
20150828,Marketplace Payments,0
20150831,Marketplace Payments,0
20150901,Marketplace Payments,0
20150902,Marketplace Payments,0
20150903,Marketplace Payments,0
20150904,Marketplace Payments,0
20150908,Marketplace Payments,0
20150909,Marketplace Payments,0
20150910,Marketplace Payments,0
20150911,Marketplace Payments,0
20150914,Marketplace Payments,0
20150915,Marketplace Payments,0
20150916,Marketplace Payments,0
20150917,Marketplace Payments,0
20150918,Marketplace Payments,0
20150921,Marketplace Payments,4124
20150922,Marketplace Payments,0
20150923,Marketplace Payments,0
20150924,Marketplace Payments,0
20150925,Marketplace Payments,0
20150928,Marketplace Payments,0
20150929,Marketplace Payments,0
20150930,Marketplace Payments,0
20151001,Marketplace Payments,0
20151002,Marketplace Payments,0
20151005,Marketplace Payments,0
20151006,Marketplace Payments,0
20151007,Marketplace Payments,0
20151008,Marketplace Payments,0
20151009,Marketplace Payments,0
20151013,Marketplace Payments,0
20151014,Marketplace Payments,0
20151015,Marketplace Payments,0
20151016,Marketplace Payments,0
20151019,Marketplace Payments,0
20151020,Marketplace Payments,0
20151021,Marketplace Payments,2454
20151022,Marketplace Payments,0
20151023,Marketplace Payments,0
20151026,Marketplace Payments,0
20151027,Marketplace Payments,0
20151028,Marketplace Payments,0
20151029,Marketplace Payments,0
20151030,Marketplace Payments,0
20151102,Marketplace Payments,0
20151103,Marketplace Payments,0
20151104,Marketplace Payments,0
20151105,Marketplace Payments,0
20151106,Marketplace Payments,0
20151109,Marketplace Payments,0
20151110,Marketplace Payments,0
20151112,Marketplace Payments,0
20151113,Marketplace Payments,0
20151116,Marketplace Payments,0
20151117,Marketplace Payments,0
20151118,Marketplace Payments,0
20151119,Marketplace Payments,0
20151120,Marketplace Payments,3194
20151123,Marketplace Payments,0
20151124,Marketplace Payments,0
20151125,Marketplace Payments,0
20151127,Marketplace Payments,0
20151130,Marketplace Payments,0
20151201,Marketplace Payments,0
20151202,Marketplace Payments,0
20151203,Marketplace Payments,0
20151204,Marketplace Payments,0
20151207,Marketplace Payments,0
20151208,Marketplace Payments,0
20151209,Marketplace Payments,0
20151210,Marketplace Payments,0
20151211,Marketplace Payments,0
20151214,Marketplace Payments,0
20151215,Marketplace Payments,0
20151216,Marketplace Payments,0
20151217,Marketplace Payments,0
20151218,Marketplace Payments,0
20151221,Marketplace Payments,2647
20151222,Marketplace Payments,0
20151223,Marketplace Payments,0
20151224,Marketplace Payments,0
20151228,Marketplace Payments,0
